"","replicate","areas","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"19",1,19,123,26,97,199,0.0789056304520222,1.61788617886179,2.05154639175258,7.65384615384615,0.416100603520113,1.2680412371134,4.73076923076923,NA,0.788448480403051
"20",1,20,127,16,111,206,0.115990990990991,1.62204724409449,1.85585585585586,12.875,0.386040154585729,1.14414414414414,7.9375,NA,0.698918011375268
"21",1,21,133,19,114,215,0.0992613111726685,1.61654135338346,1.8859649122807,11.3157894736842,0.45137912385073,1.16666666666667,7,NA,0.665996475496614
"22",1,22,133,2,131,219,0.83587786259542,1.64661654135338,1.67175572519084,109.5,NA,1.01526717557252,66.5,NA,0.280002071533749
"23",1,23,134,90,44,220,0.0555555555555556,1.64179104477612,5,2.44444444444444,0.431301652892562,3.04545454545455,1.48888888888889,NA,1.48035115905092
"24",1,24,134,86,48,221,0.0535368217054264,1.64925373134328,4.60416666666667,2.56976744186047,0.426834012407608,2.79166666666667,1.55813953488372,NA,1.32805727816406
"25",1,25,136,74,62,226,0.0492589363557105,1.66176470588235,3.64516129032258,3.05405405405405,0.410212232751194,2.19354838709677,1.83783783783784,NA,1.08398936405061
"26",1,26,140,105,35,231,0.0628571428571429,1.65,6.6,2.2,0.435392889938344,4,1.33333333333333,NA,1.38046654975508
"27",1,27,142,75,67,233,0.0463681592039801,1.64084507042254,3.47761194029851,3.10666666666667,0.418151006649598,2.11940298507463,1.89333333333333,NA,1.04360465218201
"28",1,28,143,65,78,235,0.0463510848126233,1.64335664335664,3.01282051282051,3.61538461538462,0.413544590312359,1.83333333333333,2.2,NA,1.12885553630152
"29",1,29,145,122,23,237,0.0844618674269423,1.63448275862069,10.304347826087,1.94262295081967,0.433619968309922,6.30434782608696,1.18852459016393,NA,1.49220209573354
"30",1,30,150,5,145,246,0.339310344827586,1.64,1.69655172413793,49.2,NA,1.03448275862069,30,NA,0.545006696369277
"31",1,31,153,70,83,250,0.0430292598967298,1.63398692810458,3.01204819277108,3.57142857142857,0.376384,1.8433734939759,2.18571428571429,NA,1.04729295554627
"32",1,32,160,143,17,260,0.106951871657754,1.625,15.2941176470588,1.81818181818182,0.409674556213017,9.41176470588235,1.11888111888112,NA,2.41067356230924
"33",1,33,167,120,47,275,0.048758865248227,1.64670658682635,5.85106382978723,2.29166666666667,0.437276033057851,3.5531914893617,1.39166666666667,NA,1.357777477795
"34",1,34,172,89,83,286,0.0387166644104508,1.66279069767442,3.44578313253012,3.21348314606742,0.422453420705169,2.07228915662651,1.93258426966292,NA,0.960144154911642
"35",1,35,174,93,81,290,0.0384972786406478,1.66666666666667,3.58024691358025,3.11827956989247,0.404625445897741,2.14814814814815,1.87096774193548,NA,1.13109110535252
"36",1,36,179,168,11,300,0.162337662337662,1.67597765363128,27.2727272727273,1.78571428571429,0.383622222222222,16.2727272727273,1.06547619047619,NA,2.86264361820477
