"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"31",3,9,0.5754,44,36,8,46,0.159722222222222,1.04545454545455,5.75,1.27777777777778,0.488657844990548,5.5,1.22222222222222,NA,2.54359770383664
"32",3,10,0.6213,45,41,4,48,0.292682926829268,1.06666666666667,12,1.17073170731707,0.4140625,11.25,1.09756097560976,NA,2.75992527072745
"33",3,11,0.7133,48,4,44,55,0.3125,1.14583333333333,1.25,13.75,0.375206611570248,1.09090909090909,12,NA,0.678354840224641
"34",4,1,0.0775,7,4,3,6,0.5,0.857142857142857,2,1.5,NA,2.33333333333333,1.75,NA,0
"35",4,2,0.1695,19,12,7,19,0.226190476190476,1,2.71428571428571,1.58333333333333,0.326869806094183,2.71428571428571,1.58333333333333,NA,0.951189731211342
"36",4,3,0.2154,21,17,4,21,0.308823529411765,1,5.25,1.23529411764706,0.414965986394558,5.25,1.23529411764706,NA,1.5
"37",4,4,0.2591,28,25,3,30,0.4,1.07142857142857,10,1.2,0.351111111111111,9.33333333333333,1.12,NA,1.86666666666667
"38",4,5,0.3714,28,9,19,31,0.181286549707602,1.10714285714286,1.63157894736842,3.44444444444444,0.480749219562955,1.47368421052632,3.11111111111111,NA,1.05037858824015
"39",4,6,0.4207,28,7,21,32,0.217687074829932,1.14285714285714,1.52380952380952,4.57142857142857,0.4072265625,1.33333333333333,4,NA,0.903696114115064
"40",4,7,0.4868,30,23,7,33,0.204968944099379,1.1,4.71428571428571,1.43478260869565,0.482093663911846,4.28571428571429,1.30434782608696,NA,2.44579166958018
"41",4,8,0.6001,36,25,11,38,0.138181818181818,1.05555555555556,3.45454545454545,1.52,0.477839335180055,3.27272727272727,1.44,NA,1.81557102909033
"42",4,9,0.633,39,27,12,42,0.12962962962963,1.07692307692308,3.5,1.55555555555556,0.465419501133787,3.25,1.44444444444444,NA,1.50771054735969
