"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"911",83,9,0.5511,104,50,54,187,0.0692592592592593,1.79807692307692,3.46296296296296,3.74,0.358317366810604,1.92592592592593,2.08,10.962962962963,2.25770314228886
"912",83,10,0.6644,111,54,57,212,0.0688758934372969,1.90990990990991,3.71929824561404,3.92592592592593,0.360159309362763,1.94736842105263,2.05555555555556,10.5614035087719,2.41716285642934
"913",83,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"914",84,1,0.0775,25,14,11,26,0.168831168831169,1.04,2.36363636363636,1.85714285714286,0.519230769230769,2.27272727272727,1.78571428571429,27.4545454545455,1.88778811002701
"915",84,2,0.1898,46,26,20,51,0.0980769230769231,1.10869565217391,2.55,1.96153846153846,0.505959246443676,2.3,1.76923076923077,21.05,1.97338674515616
"916",84,3,0.2335,62,32,30,77,0.0802083333333333,1.24193548387097,2.56666666666667,2.40625,0.471411705177939,2.06666666666667,1.9375,15.9,2.00250142608374
"917",84,4,0.2794,70,36,34,95,0.0776143790849673,1.35714285714286,2.79411764705882,2.63888888888889,0.447756232686981,2.05882352941176,1.94444444444444,15.2647058823529,2.44570915630628
"918",84,5,0.3287,78,40,38,122,0.0802631578947368,1.56410256410256,3.21052631578947,3.05,0.39377855415211,2.05263157894737,1.95,14.0526315789474,2.52327258454228
"919",84,6,0.3601,85,41,44,139,0.0770509977827051,1.63529411764706,3.15909090909091,3.39024390243902,0.404223383882822,1.93181818181818,2.07317073170732,12.5454545454545,2.3441715416071
"920",84,7,0.4262,95,46,49,164,0.0727595385980479,1.72631578947368,3.3469387755102,3.56521739130435,0.381915526472338,1.93877551020408,2.06521739130435,11.5918367346939,2.19483009548604
"921",84,8,0.4751,105,51,54,180,0.065359477124183,1.71428571428571,3.33333333333333,3.52941176470588,0.364567901234568,1.94444444444444,2.05882352941176,10.6851851851852,2.25212455017875
"922",84,9,0.5671,111,54,57,196,0.0636777128005198,1.76576576576577,3.43859649122807,3.62962962962963,0.354123281965848,1.94736842105263,2.05555555555556,10.4210526315789,2.22710471780196
"923",84,10,0.6,113,55,58,203,0.0636363636363636,1.79646017699115,3.5,3.69090909090909,0.346696110073042,1.94827586206897,2.05454545454545,10.2931034482759,2.29690348978443
"924",84,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"925",85,1,0.1123,34,17,17,32,0.110726643598616,0.941176470588235,1.88235294117647,1.88235294117647,0.5556640625,2,2,22.7647058823529,1.29489683469379
"926",85,2,0.2256,60,32,28,72,0.0803571428571429,1.2,2.57142857142857,2.25,0.510223765432099,2.14285714285714,1.875,16.3928571428571,1.90338354007979
"927",85,3,0.3176,68,36,32,94,0.0815972222222222,1.38235294117647,2.9375,2.61111111111111,0.468537799909461,2.125,1.88888888888889,15.5,2.06201938581759
"928",85,4,0.3669,75,39,36,121,0.0861823361823362,1.61333333333333,3.36111111111111,3.1025641025641,0.412540127040503,2.08333333333333,1.92307692307692,13.9722222222222,2.20344933020793
"929",85,5,0.433,89,44,45,153,0.0772727272727273,1.71910112359551,3.4,3.47727272727273,0.385791789482677,1.97777777777778,2.02272727272727,12.3555555555556,2.18498314774453
