"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1015",94,4,0.2414,"mod3",0.827112652587181,0.0567513058756765,14.5743369218519,6.54642137028748e-06,NA,NA,NA,NA,0.96
"1026",95,4,0.3204,"mod3",1.19540351152441,0.0656489197446849,18.2090355206673,5.34960173032463e-05,NA,NA,NA,NA,0.96
"1036",96,4,0.2804,"mod3",0.809261223186594,0.0486348295521683,16.6395406468637,1.72005567392941e-07,NA,NA,NA,NA,0.96
"1047",97,4,0.272,"mod3",1.42849734722779,0.0549911631304234,25.9768527506829,1.57942925057378e-06,NA,NA,NA,NA,0.96
"1058",98,4,0.1957,"mod3",0.847261414372493,0.0504960855981093,16.7787543200025,1.61183845981862e-07,NA,NA,NA,NA,0.96
"1069",99,4,0.2164,"mod3",0.864785788411885,0.068805989772045,12.5684666593262,1.55271229376994e-05,NA,NA,NA,NA,0.96
"1080",100,4,0.2939,"mod3",1.10638841216146,0.158622049172328,6.97499759922705,0.00222171655108429,NA,NA,NA,NA,0.96
"5",1,5,0.2676,"mod3",1.0172513895104,0.0287034880694093,35.4399920682301,4.39887630282943e-10,NA,NA,NA,NA,0.91
"16",2,5,0.3487,"mod3",0.89774429391058,0.0284782101969505,31.5239015268843,7.01422690585919e-05,NA,NA,NA,NA,0.91
"26",3,5,0.3853,"mod3",1.31332777356141,0.11349718940539,11.571456354487,8.45718130766751e-05,NA,NA,NA,NA,0.91
"37",4,5,0.3183,"mod3",1.03298131078091,0.0239437296898613,43.1420386113998,9.64260209752494e-12,NA,NA,NA,NA,0.91
"48",5,5,0.3022,"mod3",0.918230624969279,0.0443771365381578,20.69152488421,1.54636458852651e-07,NA,NA,NA,NA,0.91
"59",6,5,0.3521,"mod3",0.902254214490086,0.0224700152296229,40.1536983962796,1.62807682797726e-10,NA,NA,NA,NA,0.91
"70",7,5,0.3511,"mod3",0.995085531411703,0.0376437370844766,26.4342918233284,2.83878365409659e-08,NA,NA,NA,NA,0.91
"81",8,5,0.3724,"mod3",0.773424500674531,0.0597933398109849,12.9349607016339,3.83723496444649e-06,NA,NA,NA,NA,0.91
"92",9,5,0.2344,"mod3",1.02192413647657,0.0407363394850559,25.0863025346561,6.82296477086844e-09,NA,NA,NA,NA,0.91
"103",10,5,0.3849,"mod3",1.22127675317176,0.127225248470771,9.59932692489368,0.00065826884826967,NA,NA,NA,NA,0.91
"114",11,5,0.2893,"mod3",1.2496207043672,0.0441850048715103,28.2815563334459,1.29349051407241e-07,NA,NA,NA,NA,0.91
"125",12,5,0.269,"mod3",1.19330193102794,0.0159498290593242,74.8159699135045,2.00505533907154e-11,NA,NA,NA,NA,0.91
"136",13,5,0.3517,"mod3",1.13677890699954,0.0481548227671658,23.6067509270255,2.53985572384359e-06,NA,NA,NA,NA,0.91
