"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"62",7,2,0.1234,"mod2",NA,NA,NA,NA,7.6463268992533,2.8875847340022,2.64800087395374,0.117916427183689
"63",7,3,0.1895,"mod3",1.37851110291247,0.0543964089904792,25.3419504797412,0.000134747741366002,NA,NA,NA,NA
"64",7,4,0.3028,"mod2",NA,NA,NA,NA,2.74756293335447,2.2876320198577,1.20105109104277,0.442010025060317
"65",7,5,0.3465,"mod3",1.05404047324806,0.113730904098912,9.26784572407302,0.000753803085462796,NA,NA,NA,NA
"66",7,6,0.424,"mod3",0.987451951087286,0.0230478853043945,42.8434946653875,1.3072172161674e-07,NA,NA,NA,NA
"67",7,7,0.4569,"mod3",1.32955317335811,0.11036331038295,12.0470577472231,0.00027223040633616,NA,NA,NA,NA
"68",7,8,0.5028,"mod3",0.930015228483353,0.0506181264702711,18.3731657675945,1.67536975546042e-06,NA,NA,NA,NA
"69",7,9,0.5521,"mod3",1.16776714007481,0.152835814084578,7.64066424528335,0.000611044864791466,NA,NA,NA,NA
"70",7,10,0.601,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"71",7,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"72",8,2,0.1436,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091
"73",8,3,0.1929,"mod2",NA,NA,NA,NA,5.50185039198585,2.89284969802233,1.90187910410525,0.308168934106316
"74",8,4,0.2849,"mod1",1.04444724602138,0.0917712659380753,11.3809833104639,0.055793860726751,823.085004987183,16693.3296386202,0.0493062212755306,0.968636084486774
"75",8,5,0.3338,"mod3",1.22987077213373,0.0608723003668857,20.2041119642454,3.54268504111898e-05,NA,NA,NA,NA
"76",8,6,0.3652,"mod3",0.533410263001223,0.0614013103700203,8.68727816697647,0.000966482535054692,NA,NA,NA,NA
"77",8,7,0.4785,"mod3",1.27699252836095,0.0677110935539107,18.8594285121716,4.65522273628634e-05,NA,NA,NA,NA
"78",8,8,0.5908,"mod3",1.27119615580422,0.0786596423317671,16.1607161960211,8.57636913304618e-05,NA,NA,NA,NA
"79",8,9,0.6367,"mod3",1.05176860763943,0.0540800140011497,19.4483789818743,6.6322781037814e-06,NA,NA,NA,NA
"80",8,10,0.6696,"mod3",1.03777106525149,0.0439374250739164,23.6192963858404,3.78011252870845e-07,NA,NA,NA,NA
"81",8,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"82",9,1,0.092,"mod4",0.239071078362865,0.768262517049696,0.311184097957757,0.807940987888442,0.346447484307931,1.05149914449426,0.329479568406651,0.797377826811725
"83",9,2,0.1695,"mod2",NA,NA,NA,NA,8.65616467554789,6.13445429813001,1.41107330087805,0.39249392390547
"84",9,3,0.2828,"mod4",0.211640436582633,1.31647751217321,0.160762667516638,0.89852356958253,0.32569603438371,1.50633610795586,0.21621737184916,0.864438533521269
"85",9,4,0.3142,"mod3",0.70914184523785,0.0476378113071552,14.8861130639588,2.47528373116703e-05,NA,NA,NA,NA
"86",9,5,0.4265,"mod2",NA,NA,NA,NA,3.95603047373173,1.92029278031227,2.06011839147175,0.1755626111876
"87",9,6,0.4594,"mod3",1.32967775908233,0.104421974725115,12.7336967394329,0.000219121487789445,NA,NA,NA,NA
"88",9,7,0.5087,"mod3",1.96173923601871,0.416147350943925,4.71404955857343,0.0180739882554318,NA,NA,NA,NA
"89",9,8,0.5546,"mod3",1.2458759364952,0.0516203101501053,24.1353826211495,0.00015589446700649,NA,NA,NA,NA
"90",9,9,0.6035,"mod3",1.57973212686391,0.210810374005219,7.49361664158333,0.00169631945678878,NA,NA,NA,NA
"91",9,10,0.6472,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"92",9,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"93",10,2,0.1908,"mod2",NA,NA,NA,NA,2.48707017398679,2.28828605628986,1.08687030939621,0.473514671205246
"94",10,3,0.2222,"mod3",0.917296887392474,0.0596433827978641,15.3796925050556,0.00059711384334953,NA,NA,NA,NA
"95",10,4,0.2659,"mod3",0.636462202408001,0.0512937565091863,12.4081807557615,6.02567900911419e-05,NA,NA,NA,NA
"96",10,5,0.3118,"mod3",1.02368179392967,0.0309216276522133,33.1056891779239,4.7266605414365e-07,NA,NA,NA,NA
"97",10,6,0.3447,"mod3",1.10335429518226,0.0695750874695883,15.8584679561422,3.98886645093835e-06,NA,NA,NA,NA
"98",10,7,0.3936,"mod3",0.87437216405623,0.0360109744966623,24.2807137623358,3.20767244499076e-07,NA,NA,NA,NA
"99",10,8,0.4429,"mod3",1.00013368799608,0.0628234759966058,15.9197445243258,3.89946071925219e-06,NA,NA,NA,NA
"100",10,9,0.5552,"mod3",1.35884864036206,0.0935713851842919,14.5220532717963,2.79478718729103e-05,NA,NA,NA,NA
"101",10,10,0.6213,"mod3",1.00573476200145,0.0591075632313512,17.0153311525453,2.63554929318912e-06,NA,NA,NA,NA
"102",10,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"103",11,1,0.0314,"mod2",NA,NA,NA,NA,2.68864045232154,2.3620992954602,1.1382419263614,0.458898369583925
"104",11,2,0.0773,"mod2",NA,NA,NA,NA,4.82109368492521,2.5189850764628,1.91390323427206,0.306519201101975
"105",11,3,0.1906,"mod1",0.444308220863587,0.362815401502029,1.22461234838484,0.435939532048621,20.9157636891512,45.1206236146086,0.463552185532723,0.723664621521464
"106",11,4,0.2681,"mod3",0.875942289135631,0.0813809900168848,10.763475462192,0.00171506241144403,NA,NA,NA,NA
"107",11,5,0.301,"mod3",0.989037135179508,0.0322881080936234,30.6316224014015,7.64358285287267e-05,NA,NA,NA,NA
"108",11,6,0.4133,"mod3",0.874674708283026,0.0797243244023561,10.9712401433304,0.00162130525165234,NA,NA,NA,NA
"109",11,7,0.457,"mod3",1.08296968308725,0.0423494258849843,25.57224001167,0.000131153158057555,NA,NA,NA,NA
"110",11,8,0.5059,"mod3",1.04609676829722,0.0565766101934094,18.4899159691804,1.61382251281609e-06,NA,NA,NA,NA
"111",11,9,0.572,"mod3",0.939564185290773,0.0459428183123261,20.4507302730859,1.67641949858539e-07,NA,NA,NA,NA
"112",11,10,0.6213,"mod3",1.08702948115463,0.0638609912830826,17.0218071989526,1.28040846739387e-05,NA,NA,NA,NA
"113",11,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"114",12,2,0.2256,"mod2",NA,NA,NA,NA,4.32808849838081,1.52800389322022,2.83251143376311,0.105314941585066
"115",12,3,0.2749,"mod2",NA,NA,NA,NA,3.50436621335428,2.69741110753543,1.29915910984594,0.417627887649213
"116",12,4,0.341,"mod2",NA,NA,NA,NA,2.76698814542985,1.35848028156532,2.03682613798529,0.178582984636294
"117",12,5,0.3724,"mod3",0.706906292016369,0.052157064607909,13.55341404526,0.000171536737196607,NA,NA,NA,NA
"118",12,6,0.4213,"mod3",1.19507177867801,0.130863030818902,9.13223368891583,0.000797811209919586,NA,NA,NA,NA
"119",12,7,0.4988,"mod3",0.654848188685539,0.049342517195832,13.2714791603874,4.34155300813438e-05,NA,NA,NA,NA
"120",12,8,0.5317,"mod3",1.06705053176431,0.0567232775000812,18.8115105260408,4.70239188754863e-05,NA,NA,NA,NA
"121",12,9,0.5754,"mod3",0.955907072891512,0.0547672912625411,17.4539775631613,2.26828189333206e-06,NA,NA,NA,NA
"122",12,10,0.6213,"mod3",0.937499576692792,0.0453368783858323,20.6785206673109,1.55308691316463e-07,NA,NA,NA,NA
"123",12,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"124",13,1,0.0314,"mod2",NA,NA,NA,NA,5.49140831866996,2.49575440584056,2.20029995973121,0.27156680257391
"125",13,2,0.1447,"mod2",NA,NA,NA,NA,4.66822952232836,1.73666433142366,2.68804364658167,0.115007666572907
"126",13,3,0.2222,"mod3",1.19880251468605,0.116997719452398,10.2463750601036,0.00198182452444512,NA,NA,NA,NA
"127",13,4,0.3345,"mod3",1.67396460119836,0.272790651283274,6.13644416816935,0.00870330374093326,NA,NA,NA,NA
"128",13,5,0.3834,"mod3",0.745632670580271,0.0594577195577823,12.5405527848348,0.00109311910271153,NA,NA,NA,NA
"129",13,6,0.4327,"mod2",NA,NA,NA,NA,2.94372787547079,1.55399715408205,1.89429425127207,0.19868067865372
"130",13,7,0.5247,"mod3",0.837027444831252,0.0622264134006847,13.4513207348383,4.06537202433167e-05,NA,NA,NA,NA
"131",13,8,0.5908,"mod3",0.996861679876201,0.0502231980296018,19.8486300949742,3.80115476492517e-05,NA,NA,NA,NA
"132",13,9,0.6345,"mod3",1.00792462182692,0.059503231383671,16.9389896714671,2.70632138110034e-06,NA,NA,NA,NA
"133",13,10,0.6804,"mod3",1.04549060763642,0.0706249642080727,14.803414335988,5.97486704298129e-06,NA,NA,NA,NA
"134",13,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"135",14,2,0.2256,"mod1",1.04967458285865,0.122747464529339,8.55149706662785,0.0741088371974509,324.597015746681,3350.127996608,0.0968909295630897,0.9385092611072
"136",14,3,0.257,"mod3",1.22987077213373,0.0608723003668857,20.2041119642454,3.54268504111898e-05,NA,NA,NA,NA
"137",14,4,0.3063,"mod3",0.763721848713178,0.0873766471943044,8.74057168862117,0.000324749251246512,NA,NA,NA,NA
"138",14,5,0.3724,"mod3",0.885664903210339,0.129148362096099,6.85773236946915,0.00634811086244215,NA,NA,NA,NA
