"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"64",6,9,0.6326,"mod2",NA,NA,NA,NA,5.12628936702428,0.885542999333582,5.78886555580258,0.000410341661316574
"65",6,10,0.664,"mod2",NA,NA,NA,NA,5.35224513220023,1.09497570992198,4.88800352711166,0.00121201638173637
"66",6,11,0.7133,"mod3",0.886656900938406,0.158091225026132,5.60851432957043,0.00137009606097813,NA,NA,NA,NA
"67",7,1,0.0775,"mod2",NA,NA,NA,NA,2.93878836101296,1.32063396347644,2.22528606887929,0.156016122137258
"68",7,2,0.1898,"mod2",NA,NA,NA,NA,84.7380601501705,90.2097248237734,0.939345068568917,0.519904423422632
"69",7,3,0.2212,"mod3",1.21961374251395,0.19511114125501,6.25086673507751,0.00333964070714669,NA,NA,NA,NA
"70",7,4,0.2873,"mod3",1.17709521560693,0.280291964396145,4.19953250583847,0.0137009619131187,NA,NA,NA,NA
"71",7,5,0.3362,"mod3",1.14514486719798,0.238668818052854,4.7980497684636,0.00866047788092478,NA,NA,NA,NA
"72",7,6,0.4495,"mod3",0.795315586170562,0.203374034033946,3.91060535307971,0.0112881106987278,NA,NA,NA,NA
"73",7,7,0.5415,"mod2",NA,NA,NA,NA,5.44852850557986,1.00321047060287,5.43109214391036,0.000622530017622557
"74",7,8,0.5908,"mod2",NA,NA,NA,NA,26.8762795214089,6.10007574546603,4.40589275328016,0.00313437793521402
"75",7,9,0.6345,"mod3",0.120208032646189,0.0641712909384692,1.87323693957553,0.157747082504829,NA,NA,NA,NA
"76",7,10,0.6674,"mod2",NA,NA,NA,NA,33.8979104064698,8.65308731832778,3.91743537993335,0.00576801964767704
"77",7,11,0.7133,"mod3",0.958072761207973,0.20353303354143,4.70721014931934,0.0053028204740921,NA,NA,NA,NA
"78",8,1,0.0493,"mod3",0.942730582014243,0.232349826004011,4.05737588974123,0.0269818625993719,NA,NA,NA,NA
"79",8,2,0.1268,"mod2",NA,NA,NA,NA,6.10317111058456,1.52488652698986,4.00237722778775,0.0102990880065418
"80",8,3,0.1727,"mod2",NA,NA,NA,NA,132.425505314576,150.581189047508,0.879429271027978,0.540785077397072
"81",8,4,0.285,"mod3",0.918771469204098,0.217539277532202,4.22347393825511,0.0083000738496841,NA,NA,NA,NA
"82",8,5,0.3287,"mod2",NA,NA,NA,NA,4.24904703534024,0.875420094681289,4.85372344221454,0.00284088878104932
"83",8,6,0.3776,"mod2",NA,NA,NA,NA,12.0515141220897,3.47211456314134,3.47094368660067,0.00843104230464889
"84",8,7,0.409,"mod1",-2.37140625409518,0.962836096956343,-2.46293866795347,0.0570224139141009,1.05674610251381,0.365836415416865,2.88857548888254,0.0342436531040849
"85",8,8,0.501,"mod2",NA,NA,NA,NA,13.4324962749784,2.87430335925423,4.67330500509996,0.00116314776493719
"86",8,9,0.6143,"mod2",NA,NA,NA,NA,4.83756320726949,0.875708783660336,5.52416887615216,0.000557639671928746
"87",8,10,0.6472,"mod3",0.747775436793627,0.122986412816184,6.0801467387398,0.000899561881434534,NA,NA,NA,NA
"88",8,11,0.7133,"mod3",0.759460192965069,0.171828407062764,4.41987565355046,0.00689277825887386,NA,NA,NA,NA
"89",9,1,0.0775,"mod3",0.842827144271727,0.177368742586333,4.75183581944541,0.0176865072489726,NA,NA,NA,NA
"90",9,2,0.1089,"mod2",NA,NA,NA,NA,3.95678123381722,2.89805169155108,1.36532458870652,0.402444867210021
"91",9,3,0.175,"mod3",1.12811224977889,0.178763191491651,6.31065176430112,0.00147114684847709,NA,NA,NA,NA
"92",9,4,0.2883,"mod2",NA,NA,NA,NA,4.65450058666329,1.0329096205699,4.50620315076087,0.00407692526194189
"93",9,5,0.3372,"mod2",NA,NA,NA,NA,8.98720200386614,1.39666853882637,6.43474221264992,0.000201546147907797
"94",9,6,0.4495,"mod3",0.835741724885758,0.163420812853648,5.11404704389894,0.0021909822378823,NA,NA,NA,NA
"95",9,7,0.4988,"mod2",NA,NA,NA,NA,12.4075331033934,2.49629068887862,4.97038792744411,0.00161846595357723
"96",9,8,0.5425,"mod3",1.03552987945126,0.218597781979172,4.7371472394442,0.00516316295651458,NA,NA,NA,NA
"97",9,9,0.5754,"mod3",1.06864343735001,0.190637606905014,5.60562763401909,0.00249712636671854,NA,NA,NA,NA
"98",9,10,0.6674,"mod3",0.848397851423107,0.20265036453604,4.18651036412138,0.00860070943737498,NA,NA,NA,NA
"99",9,11,0.7133,"mod1",-2.52628596029484,0.506035913601169,-4.99230566920973,0.00157890918057059,1.03019090735017,0.181569003535848,5.67382585842511,0.000755551698456651
"100",10,1,0.1123,"mod2",NA,NA,NA,NA,10.6255572550902,4.84318851667657,2.19391775036285,0.115828864812325
"101",10,2,0.1582,"mod1",-1.34993512773903,0.342291790227042,-3.94381392216161,0.0169055466277567,1.89869964137338,0.396956062015072,4.78314811905126,0.00875533258531402
"102",10,3,0.2075,"mod3",0.752049966293637,0.194673586638683,3.86313304890946,0.018098907129954,NA,NA,NA,NA
"103",10,4,0.2995,"mod3",1.25892339921608,0.231934596644159,5.42792415375423,0.00558755804694864,NA,NA,NA,NA
"104",10,5,0.377,"mod3",0.862411655844475,0.153984512242345,5.60063894274761,0.00250694683249713,NA,NA,NA,NA
"105",10,6,0.4099,"mod2",NA,NA,NA,NA,13.0725955825145,3.32221139667184,3.93490781339516,0.00564005295738294
"106",10,7,0.4588,"mod2",NA,NA,NA,NA,5.79740866912597,1.28968693150401,4.49520618338369,0.00412494409771552
"107",10,8,0.5249,"mod2",NA,NA,NA,NA,12.3142059363816,3.8555134431736,3.19392115158737,0.0187432934864113
"108",10,9,0.6382,"mod3",0.863359710065859,0.184045373238663,4.69101556248463,0.00335730096020688,NA,NA,NA,NA
"109",10,10,0.6696,"mod3",0.99576246334534,0.314249033239731,3.16870493786278,0.0505310385447426,NA,NA,NA,NA
"110",10,11,0.7133,"mod2",NA,NA,NA,NA,4.51290310049752,1.08991421030504,4.14060396481523,0.00607451713033548
"111",11,1,0.0775,"mod3",0.936563634141945,0.240895198799379,3.88784682637834,0.0301647169132706,NA,NA,NA,NA
"112",11,2,0.1264,"mod2",NA,NA,NA,NA,3.14036577460084,2.54227275342753,1.23525918702742,0.433242070911508
"113",11,3,0.1925,"mod3",1.36064282443748,0.141006917601132,9.64947569654951,0.000202799445750594,NA,NA,NA,NA
"114",11,4,0.2384,"mod3",1.08599035409109,0.139885080015049,7.76344663758462,0.00148374579316402,NA,NA,NA,NA
"115",11,5,0.3517,"mod2",NA,NA,NA,NA,10.0840356943859,2.72912494758079,3.69497032494784,0.00770591682320329
"116",11,6,0.464,"mod3",0.10424600210168,0.0722456214164669,1.44293868691008,0.28582022961553,NA,NA,NA,NA
"117",11,7,0.5133,"mod2",NA,NA,NA,NA,23.2254056918974,6.91445809370337,3.35896253576944,0.012101477697037
"118",11,8,0.6053,"mod2",NA,NA,NA,NA,5.61208394998715,1.21612806016816,4.61471462899323,0.00172203425782115
"119",11,9,0.6382,"mod1",-2.11339230478559,0.234882416351869,-8.99766077686971,4.27291913754482e-05,1.29703970506373,0.129907288112965,9.98434902232616,2.16162393131322e-05
"120",11,10,0.6696,"mod2",NA,NA,NA,NA,4.58350606216541,0.940816571053155,4.8718381491034,0.00181044281651492
"121",11,11,0.7133,"mod2",NA,NA,NA,NA,26.5250108962824,6.18815028377981,4.28641996071249,0.00203071709034004
"122",12,1,0.092,"mod4",0.25958387587366,0.725702165985237,0.357700290891705,0.781309503415419,0.341328470764474,1.30759642239772,0.261035029553374,0.837447222482736
"123",12,2,0.2043,"mod2",NA,NA,NA,NA,3.2217850160103,2.57634922364657,1.25052340980784,0.429423423885157
"124",12,3,0.3176,"mod3",0.616172269617021,0.136688507384591,4.50785718131619,0.00635341159934597,NA,NA,NA,NA
"125",12,4,0.3505,"mod2",NA,NA,NA,NA,17.1271558998107,4.65694523449783,3.67776622600921,0.0103581400667065
"126",12,5,0.3819,"mod1",-2.1159157266333,0.435149580305028,-4.86250205078928,0.00462303309544165,1.23791781863059,0.222453406082356,5.56484092750772,0.00257876239468971
"127",12,6,0.4308,"mod2",NA,NA,NA,NA,6.50737155247961,1.35788095420838,4.79229900994766,0.00198385717331919
"128",12,7,0.4767,"mod2",NA,NA,NA,NA,7.9814384735823,2.2691034555552,3.51744141680372,0.0125574665984984
"129",12,8,0.5428,"mod1",-1.14096708347786,0.524292060150337,-2.17620515395694,0.0612235400907855,2.11542140286631,0.737745700462408,2.86741271625222,0.0209118719641753
"130",12,9,0.6203,"mod2",NA,NA,NA,NA,4.14896029092191,0.865170112494034,4.79554278517743,0.00301445947203596
"131",12,10,0.664,"mod2",NA,NA,NA,NA,18.915584141641,5.30980734925781,3.5623861465115,0.0118928688283996
"132",12,11,0.7133,"mod2",NA,NA,NA,NA,4.5490664180485,0.916509005887647,4.96347159583303,0.00254340007860709
"133",13,1,0.0489,"mod4",0.312820131797114,0.566884845040151,0.55182306342121,0.678989701227193,0.372532684952579,1.56439278970456,0.23813244819604,0.851172051757075
"134",13,2,0.0818,"mod2",NA,NA,NA,NA,38.1600768070389,23.6976808989771,1.61028739350972,0.248629802421506
"135",13,3,0.1951,"mod3",1.14350911261642,0.154016733247358,7.42457711253939,0.00505587304886108,NA,NA,NA,NA
"136",13,4,0.2388,"mod2",NA,NA,NA,NA,9.32933423756572,1.35139962764789,6.90346071339641,0.00012409447251874
"137",13,5,0.2847,"mod2",NA,NA,NA,NA,6.46464422963087,1.09214286742288,5.91922945473739,0.000587971247854605
