"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"48",5,4,0.1703,"mod3",0.898601023012699,0.0862572475461914,10.4176871923892,0.000479565863375444,NA,NA,NA,NA
"49",5,5,0.2623,"mod3",0.785567617987856,0.0696684104846908,11.2758079669477,0.00035247240770094,NA,NA,NA,NA
"50",5,6,0.3398,"mod3",0.800403265526662,0.0575884588618684,13.8986748620328,3.46454085054844e-05,NA,NA,NA,NA
"51",5,7,0.3727,"mod3",0.80104504299546,0.0523066988084299,15.3143872820045,2.15361158941803e-05,NA,NA,NA,NA
"52",5,8,0.4388,"mod3",0.847439215837438,0.0474264705349494,17.8684858113771,1.00786112750641e-05,NA,NA,NA,NA
"53",5,9,0.4877,"mod3",0.949715428962448,0.0265470639121455,35.7747821795067,3.18060263335698e-08,NA,NA,NA,NA
"54",5,10,0.601,"mod3",1.03164577483194,0.0579594152956148,17.7994510394931,4.35907812436724e-07,NA,NA,NA,NA
"55",5,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"56",6,1,0.0459,"mod2",NA,NA,NA,NA,3.09500872503556,2.52347100788636,1.22648871945151,0.435462095007091
"57",6,2,0.1582,"mod4",0.293792241163247,0.581117997214533,0.50556383139307,0.702005439573369,0.351516795287778,1.55195758258849,0.226498970868448,0.858198849989821
"58",6,3,0.1896,"mod3",0.913322270366618,0.0912152226692784,10.0128272851789,0.00212041963569688,NA,NA,NA,NA
"59",6,4,0.2333,"mod3",0.932491118809085,0.0737716322120981,12.6402397621909,0.000225539636697103,NA,NA,NA,NA
"60",6,5,0.2994,"mod3",0.984643846924072,0.0686377882605259,14.3455066353056,0.000137198113718079,NA,NA,NA,NA
"61",6,6,0.3914,"mod3",0.850511654921995,0.066787637476745,12.7345671602493,0.000219062787990815,NA,NA,NA,NA
"62",6,7,0.4407,"mod3",0.850446301175553,0.0521440442639491,16.3095577487365,1.58036436713323e-05,NA,NA,NA,NA
"63",6,8,0.5182,"mod3",0.845069939656159,0.0485758946722703,17.3968991278007,1.14998369179341e-05,NA,NA,NA,NA
"64",6,9,0.6315,"mod3",0.886839982912976,0.0397245724977338,22.3247206238297,5.28376028397055e-07,NA,NA,NA,NA
"65",6,10,0.6644,"mod3",0.900021592494586,0.0462992498296122,19.4392262467922,1.20023809007726e-06,NA,NA,NA,NA
"66",6,11,0.7133,"mod3",1.02981580805104,0.057675918517876,17.8552129643476,4.2664622432915e-07,NA,NA,NA,NA
"67",7,1,0.1133,"mod2",NA,NA,NA,NA,2.48707017398679,2.28828605628986,1.08687030939621,0.473514671205246
"68",7,2,0.1592,"mod2",NA,NA,NA,NA,2.85073403901877,2.42474925332109,1.17568199479357,0.448705510252458
"69",7,3,0.1906,"mod3",1.03566754660161,0.0564125731470546,18.3588070677411,0.000352628985997538,NA,NA,NA,NA
"70",7,4,0.2826,"mod3",0.811461685839929,0.0548412347853399,14.7965611827699,2.54963564091347e-05,NA,NA,NA,NA
"71",7,5,0.3155,"mod3",0.821203109859126,0.0453315281260668,18.1154958547915,9.41840222367624e-06,NA,NA,NA,NA
"72",7,6,0.393,"mod3",0.804980158853005,0.0393357450481848,20.4643424922278,5.15546255668696e-06,NA,NA,NA,NA
