"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"679",62,8,0.4591,35,21,14,38,0.129251700680272,1.08571428571429,2.71428571428571,1.80952380952381,0.492382271468144,2.5,1.66666666666667,6.92857142857143,2.48798519237839
"680",62,9,0.508,41,24,17,43,0.105392156862745,1.04878048780488,2.52941176470588,1.79166666666667,0.543537047052461,2.41176470588235,1.70833333333333,6.05882352941176,2.50274004394134
"681",62,10,0.6213,45,27,18,48,0.0987654320987654,1.06666666666667,2.66666666666667,1.77777777777778,0.559895833333333,2.5,1.66666666666667,5.77777777777778,2.70951143305991
"682",62,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"683",63,1,0.0775,7,4,3,6,0.5,0.857142857142857,2,1.5,0.333333333333333,2.33333333333333,1.75,12.6666666666667,1.16666666666667
"684",63,2,0.1268,8,4,4,7,0.4375,0.875,1.75,1.75,0.346938775510204,2,2,11.5,1.09420240886439
"685",63,3,0.1929,12,7,5,10,0.285714285714286,0.833333333333333,2,1.42857142857143,0.49,2.4,1.71428571428571,10.2,1.2
"686",63,4,0.2243,22,14,8,21,0.1875,0.954545454545455,2.625,1.5,0.517006802721089,2.75,1.57142857142857,10.5,2.01416268259378
"687",63,5,0.2732,28,17,11,26,0.13903743315508,0.928571428571429,2.36363636363636,1.52941176470588,0.596153846153846,2.54545454545455,1.64705882352941,8.18181818181818,2.11432268323025
"688",63,6,0.3865,33,21,12,31,0.123015873015873,0.939393939393939,2.58333333333333,1.47619047619048,0.63891779396462,2.75,1.57142857142857,7.58333333333333,2.42145070508768
"689",63,7,0.4302,42,25,17,41,0.0964705882352941,0.976190476190476,2.41176470588235,1.64,0.631171921475312,2.47058823529412,1.68,5.76470588235294,2.56248162318221
"690",63,8,0.4761,43,26,17,43,0.0972850678733032,1,2.52941176470588,1.65384615384615,0.604651162790698,2.52941176470588,1.65384615384615,5.76470588235294,2.47784298985084
"691",63,9,0.509,45,27,18,47,0.0967078189300412,1.04444444444444,2.61111111111111,1.74074074074074,0.574468085106383,2.5,1.66666666666667,5.77777777777778,2.60947812441576
"692",63,10,0.601,48,30,18,54,0.1,1.125,3,1.8,0.54320987654321,2.66666666666667,1.6,5.77777777777778,3.06407013312076
"693",63,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"694",64,1,0.0489,15,8,7,11,0.196428571428571,0.733333333333333,1.57142857142857,1.375,0.677685950413223,2.14285714285714,1.875,9.14285714285714,2.06162439823215
"695",64,2,0.1612,19,10,9,16,0.177777777777778,0.842105263157895,1.77777777777778,1.6,0.640625,2.11111111111111,1.9,7.33333333333333,1.65588963584869
"696",64,3,0.2387,19,10,9,17,0.188888888888889,0.894736842105263,1.88888888888889,1.7,0.622837370242215,2.11111111111111,1.9,7.33333333333333,1.71736612439769
"697",64,4,0.352,26,14,12,22,0.130952380952381,0.846153846153846,1.83333333333333,1.57142857142857,0.648760330578512,2.16666666666667,1.85714285714286,7,2.06754220727486
"698",64,5,0.3849,30,17,13,26,0.117647058823529,0.866666666666667,2,1.52941176470588,0.655325443786982,2.30769230769231,1.76470588235294,6.92307692307692,2.35527859882998
"699",64,6,0.4342,30,17,13,27,0.122171945701357,0.9,2.07692307692308,1.58823529411765,0.636488340192044,2.30769230769231,1.76470588235294,6.92307692307692,2.28888612286503
"700",64,7,0.4656,36,22,14,36,0.116883116883117,1,2.57142857142857,1.63636363636364,0.594135802469136,2.57142857142857,1.63636363636364,7,2.5933134645227
"701",64,8,0.5576,40,26,14,44,0.120879120879121,1.1,3.14285714285714,1.69230769230769,0.557334710743802,2.85714285714286,1.53846153846154,7,3.24575409201448
"702",64,9,0.6237,40,26,14,45,0.123626373626374,1.125,3.21428571428571,1.73076923076923,0.550123456790124,2.85714285714286,1.53846153846154,7,3.14131509634535
"703",64,10,0.6696,42,27,15,47,0.116049382716049,1.11904761904762,3.13333333333333,1.74074074074074,0.55273879583522,2.8,1.55555555555556,6.73333333333333,3.05601841106137
"704",64,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"705",65,1,0.0459,7,4,3,4,0.333333333333333,0.571428571428571,1.33333333333333,1,0.625,2.33333333333333,1.75,8,1.01036297108185
"706",65,2,0.112,11,6,5,8,0.266666666666667,0.727272727272727,1.6,1.33333333333333,0.59375,2.2,1.83333333333333,10.6,0.753118516569603
"707",65,3,0.1613,13,7,6,10,0.238095238095238,0.769230769230769,1.66666666666667,1.42857142857143,0.57,2.16666666666667,1.85714285714286,9,1.06144555520604
"708",65,4,0.2388,14,8,6,12,0.25,0.857142857142857,2,1.5,0.555555555555556,2.33333333333333,1.75,9,1.0434983894999
"709",65,5,0.3308,23,15,8,23,0.191666666666667,1,2.875,1.53333333333333,0.546313799621928,2.875,1.53333333333333,9.875,2.10017006114131
"710",65,6,0.3745,30,18,12,32,0.148148148148148,1.06666666666667,2.66666666666667,1.77777777777778,0.5234375,2.5,1.66666666666667,6.91666666666667,2.27308235862472
