"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"744",68,7,0.3441,"mod3",1.14953643587654,0.0270476245832214,42.500458121178,1.49049268056548e-13,NA,NA,NA,NA,0.87
"755",69,7,0.5262,"mod3",0.908434626083462,0.0282517729247252,32.1549599207073,3.13317074647232e-12,NA,NA,NA,NA,0.87
"777",71,7,0.4714,"mod3",1.00380769534125,0.0313600728607329,32.0090995897575,2.08464206508271e-11,NA,NA,NA,NA,0.87
"788",72,7,0.4318,"mod3",1.03140388197379,0.0258747459509914,39.8614109652453,2.36094198876902e-12,NA,NA,NA,NA,0.87
"799",73,7,0.4339,"mod3",0.98427504350948,0.0340615340328582,28.8969675458532,3.46858708871291e-10,NA,NA,NA,NA,0.87
"810",74,7,0.4772,"mod3",1.01375394714101,0.0234869467307023,43.1624407703801,1.25863534878239e-13,NA,NA,NA,NA,0.87
"832",76,7,0.4542,"mod3",0.983611725468413,0.0169416567380888,58.0587684353813,5.57860859252375e-14,NA,NA,NA,NA,0.87
"843",77,7,0.5508,"mod3",0.937910412725028,0.0334117461897545,28.0712779092232,1.37275920427037e-11,NA,NA,NA,NA,0.87
"854",78,7,0.394,"mod3",1.14109476648314,0.0254967575524574,44.754505122286,8.46771392929572e-14,NA,NA,NA,NA,0.87
"865",79,7,0.425,"mod3",1.00485519848145,0.0234505496837672,42.8499635203444,1.15022868984492e-12,NA,NA,NA,NA,0.87
"887",81,7,0.4951,"mod3",0.989068264559051,0.0228655368131838,43.255851486888,1.04722867961791e-12,NA,NA,NA,NA,0.87
"898",82,7,0.4551,"mod3",0.988262383661106,0.0252775712986546,39.0964136540169,2.86253533365052e-12,NA,NA,NA,NA,0.87
"909",83,7,0.5278,"mod3",0.924790814761288,0.0269327567846335,34.3370276632405,1.5317238806197e-12,NA,NA,NA,NA,0.87
"920",84,7,0.4105,"mod3",1.03518827682007,0.0165082016520013,62.7075134313357,2.10073780393913e-15,NA,NA,NA,NA,0.87
"931",85,7,0.4635,"mod3",1.01937966033435,0.0307195511252964,33.1834165211784,1.4584560163148e-11,NA,NA,NA,NA,0.87
"942",86,7,0.4284,"mod3",1.07654436925622,0.0297040200779366,36.2423795308384,8.49716784619508e-13,NA,NA,NA,NA,0.87
"953",87,7,0.4696,"mod3",0.986390681174102,0.021917175355724,45.0053743315281,6.60106929626346e-12,NA,NA,NA,NA,0.87
"964",88,7,0.4878,"mod3",0.972180575809709,0.0314806366661974,30.8818587793555,4.86431279653323e-12,NA,NA,NA,NA,0.87
"975",89,7,0.4531,"mod3",1.0491987481793,0.0200657454332425,52.2880523761215,1.58419471193779e-13,NA,NA,NA,NA,0.87
"997",91,7,0.4401,"mod3",1.07816366711521,0.0161953011600694,66.5726222969841,1.42448413714464e-14,NA,NA,NA,NA,0.87
"1008",92,7,0.4081,"mod3",1.04835079507389,0.022348742217238,46.9087157068408,5.06130574610244e-14,NA,NA,NA,NA,0.87
"1019",93,7,0.3644,"mod3",1.08756798814522,0.017398860022353,62.5080026362638,2.17548484764771e-15,NA,NA,NA,NA,0.87
"1030",94,7,0.3925,"mod3",1.03382856128344,0.0309201518773279,33.4354295989566,9.43543533880239e-11,NA,NA,NA,NA,0.87
"1041",95,7,0.4775,"mod3",0.965780580987254,0.0316141105843099,30.5490353243267,3.31061501567144e-11,NA,NA,NA,NA,0.87
"1052",96,7,0.5222,"mod3",0.962682225329264,0.029062401857224,33.1246615492646,2.26665498516414e-12,NA,NA,NA,NA,0.87
"1063",97,7,0.5081,"mod3",0.952702033288323,0.027377910774221,34.7982006788256,9.1025124317653e-12,NA,NA,NA,NA,0.87
"1074",98,7,0.4917,"mod3",1.0093668293692,0.0361427641767984,27.9272173105443,4.70149342702418e-10,NA,NA,NA,NA,0.87
"1085",99,7,0.5434,"mod3",0.928333369906192,0.0209007300236178,44.4163131554341,8.04657280183835e-13,NA,NA,NA,NA,0.87
"30",3,8,0.4761,"mod3",1.03358523077656,0.0246725903185747,41.8920436577925,1.7451071003125e-13,NA,NA,NA,NA,0.83
"41",4,8,0.5551,"mod3",0.975036658521643,0.0274397100142225,35.5337814436181,1.05405848104383e-12,NA,NA,NA,NA,0.83
"52",5,8,0.5104,"mod3",0.96341685986409,0.0329385357647408,29.2489279652614,5.09175027987938e-11,NA,NA,NA,NA,0.83
"63",6,8,0.4418,"mod3",1.04871936981359,0.0322243284904389,32.5443358773094,1.20104097254422e-10,NA,NA,NA,NA,0.83
"85",8,8,0.4102,"mod3",1.07444152261531,0.0236037774885328,45.5198971070326,7.03328439164809e-14,NA,NA,NA,NA,0.83
"96",9,8,0.5223,"mod3",1.01535510891759,0.0262419091855576,38.6921203689096,5.72283055890256e-14,NA,NA,NA,NA,0.83
"107",10,8,0.5048,"mod3",0.985054599311265,0.0301913648902461,32.6270310365964,2.67316405057477e-12,NA,NA,NA,NA,0.83
"118",11,8,0.4766,"mod3",0.980678588013169,0.0450946725954873,21.7471051804755,2.17234489930296e-10,NA,NA,NA,NA,0.83
"129",12,8,0.507,"mod3",0.899567433178306,0.0456800004057337,19.6928070312669,2.49654664365698e-09,NA,NA,NA,NA,0.83
"140",13,8,0.4742,"mod3",1.00505209065021,0.0278100872754006,36.1398395013032,4.70753591220089e-11,NA,NA,NA,NA,0.83
"151",14,8,0.5524,"mod3",0.98176013013218,0.0312512306130104,31.4150870501547,2.50985699348657e-11,NA,NA,NA,NA,0.83
"162",15,8,0.5406,"mod3",0.989538939344821,0.0285078034553348,34.7111604335003,9.33159673715357e-12,NA,NA,NA,NA,0.83
"173",16,8,0.5715,"mod3",0.947666701744898,0.0276255148583954,34.3040376478958,1.54786578225059e-12,NA,NA,NA,NA,0.83
"184",17,8,0.5203,"mod3",0.961280179846906,0.0307399706035167,31.2713434975417,2.62652932222141e-11,NA,NA,NA,NA,0.83
"195",18,8,0.5654,"mod3",0.950894696128018,0.0291344833594787,32.6381176695433,1.17056767577398e-10,NA,NA,NA,NA,0.83
"206",19,8,0.4911,"mod3",0.985529457187884,0.0401961533188162,24.5180042321749,5.95284656728306e-11,NA,NA,NA,NA,0.83
"217",20,8,0.5665,"mod3",0.964108415294243,0.0197726984893225,48.7595770407803,3.17794454687313e-13,NA,NA,NA,NA,0.83
"228",21,8,0.5001,"mod3",0.989549343632646,0.0177308097914173,55.809596700521,7.54181125261859e-15,NA,NA,NA,NA,0.83
"239",22,8,0.5025,"mod3",0.974906192658216,0.0288690104520489,33.7699899439755,1.22577875626909e-11,NA,NA,NA,NA,0.83
"250",23,8,0.4979,"mod3",1.0306320939315,0.0199844842650919,51.5716132705893,1.85600030138385e-15,NA,NA,NA,NA,0.83
"261",24,8,0.5367,"mod3",0.969135082843314,0.0257220495434289,37.677210799514,4.13370768117871e-12,NA,NA,NA,NA,0.83
"272",25,8,0.5837,"mod3",0.951385025182772,0.0318731588569519,29.8490974632489,7.04282094349575e-12,NA,NA,NA,NA,0.83
"283",26,8,0.4766,"mod3",0.980678588013169,0.0450946725954873,21.7471051804755,2.17234489930296e-10,NA,NA,NA,NA,0.83
"294",27,8,0.5829,"mod3",0.956111418138688,0.0196696924597869,48.6083562360409,3.42755940111059e-14,NA,NA,NA,NA,0.83
"305",28,8,0.5283,"mod3",0.926575145925506,0.0251449553106062,36.849345504093,5.15462186499493e-12,NA,NA,NA,NA,0.83
"316",29,8,0.4736,"mod3",0.992662282973728,0.0348753887977561,28.463117321221,1.18086863399341e-11,NA,NA,NA,NA,0.83
"327",30,8,0.5748,"mod3",0.930888563495635,0.0232189449822163,40.0917683472963,2.22947459767516e-12,NA,NA,NA,NA,0.83
"349",32,8,0.5048,"mod3",0.985054599311265,0.0301913648902461,32.6270310365964,2.67316405057477e-12,NA,NA,NA,NA,0.83
"360",33,8,0.4906,"mod3",1.02331425194851,0.0191982308591439,53.3025287307201,1.25091388358416e-15,NA,NA,NA,NA,0.83
"371",34,8,0.5114,"mod3",1.00551017176755,0.0215827282797623,46.5886499025423,5.00206555949505e-13,NA,NA,NA,NA,0.83
"382",35,8,0.5203,"mod3",0.961280179846906,0.0307399706035167,31.2713434975417,2.62652932222141e-11,NA,NA,NA,NA,0.83
"404",37,8,0.3957,"mod3",1.05255552826506,0.0394008075243544,26.7140597972378,1.24738511989922e-10,NA,NA,NA,NA,0.83
"426",39,8,0.5665,"mod3",0.964108415294243,0.0197726984893225,48.7595770407803,3.17794454687313e-13,NA,NA,NA,NA,0.83
"437",40,8,0.5093,"mod3",0.991716513691705,0.0222052423952119,44.6613685201449,8.66299280096139e-14,NA,NA,NA,NA,0.83
"448",41,8,0.5058,"mod3",1.00327907834217,0.0228527004432405,43.9019922758812,9.0356026905706e-13,NA,NA,NA,NA,0.83
"459",42,8,0.5428,"mod3",0.916657370602314,0.0277992494674121,32.9741769351318,3.8348857616464e-13,NA,NA,NA,NA,0.83
"470",43,8,0.4746,"mod3",1.04582728482379,0.0218395250093613,47.8869061655649,3.80426873093508e-13,NA,NA,NA,NA,0.83
"481",44,8,0.5204,"mod3",0.997981256586476,0.0143012201467665,69.7829448358027,4.98256170266227e-17,NA,NA,NA,NA,0.83
"492",45,8,0.489,"mod3",1.03630759517199,0.0229298526646155,45.1946905341952,7.60750790710133e-14,NA,NA,NA,NA,0.83
"514",47,8,0.5231,"mod3",0.974804447529665,0.0285499171885634,34.1438625230113,7.82335647286398e-11,NA,NA,NA,NA,0.83
"525",48,8,0.4418,"mod3",1.04871936981359,0.0322243284904389,32.5443358773094,1.20104097254422e-10,NA,NA,NA,NA,0.83
"536",49,8,0.5222,"mod3",1.03278665536601,0.0294714863835644,35.0435889769705,1.22656225349193e-12,NA,NA,NA,NA,0.83
"547",50,8,0.4761,"mod3",1.03358523077656,0.0246725903185747,41.8920436577925,1.7451071003125e-13,NA,NA,NA,NA,0.83
"558",51,8,0.502,"mod3",1.03444629974866,0.0248734688831084,41.5883407581784,1.88964512172147e-13,NA,NA,NA,NA,0.83
"569",52,8,0.5063,"mod3",1.03547808989988,0.0297820529409139,34.7685262649359,9.17991149111112e-12,NA,NA,NA,NA,0.83
"602",55,8,0.5001,"mod3",0.989549343632646,0.0177308097914173,55.809596700521,7.54181125261859e-15,NA,NA,NA,NA,0.83
"613",56,8,0.4921,"mod3",1.02026794701619,0.0290900764437605,35.0727145385355,1.21549525359485e-12,NA,NA,NA,NA,0.83
"635",58,8,0.5192,"mod3",0.979114625231108,0.0249339019874972,39.2684075569909,2.74031360109361e-12,NA,NA,NA,NA,0.83
"646",59,8,0.5367,"mod3",0.969135082843314,0.0257220495434289,37.677210799514,4.13370768117871e-12,NA,NA,NA,NA,0.83
"657",60,8,0.5524,"mod3",0.98176013013218,0.0312512306130104,31.4150870501547,2.50985699348657e-11,NA,NA,NA,NA,0.83
"668",61,8,0.5376,"mod3",0.958940824724059,0.0339502207880524,28.2454959780858,7.19137515750378e-11,NA,NA,NA,NA,0.83
"679",62,8,0.5585,"mod3",1.00388736336216,0.0196930879814526,50.9766352695749,2.03540102372719e-14,NA,NA,NA,NA,0.83
"701",64,8,0.5462,"mod3",0.973448991936879,0.0212723306197786,45.7612759662444,6.63766460774269e-14,NA,NA,NA,NA,0.83
"712",65,8,0.5447,"mod3",0.947058368513736,0.0194906086242374,48.5904974427545,3.28983438473706e-13,NA,NA,NA,NA,0.83
"723",66,8,0.5231,"mod3",0.974804447529665,0.0285499171885634,34.1438625230113,7.82335647286398e-11,NA,NA,NA,NA,0.83
"734",67,8,0.4597,"mod3",1.00466591866471,0.0330658495177876,30.3837927443615,3.49328211729801e-11,NA,NA,NA,NA,0.83
"745",68,8,0.4574,"mod3",1.08301761033721,0.0221984811028906,48.7879150522684,3.60150673928773e-15,NA,NA,NA,NA,0.83
"756",69,8,0.5699,"mod3",0.95847333671292,0.0247880658382591,38.6667254705112,5.76776060970505e-14,NA,NA,NA,NA,0.83
"778",71,8,0.5207,"mod3",0.984766179503454,0.0337457201781776,29.1819577209756,5.20854827313215e-11,NA,NA,NA,NA,0.83
"789",72,8,0.4777,"mod3",1.05630145711106,0.0234700364453574,45.0063833335037,9.43664229472286e-15,NA,NA,NA,NA,0.83
"800",73,8,0.5259,"mod3",0.94845709314196,0.031025609909748,30.5701353140511,3.28805596912231e-11,NA,NA,NA,NA,0.83
"811",74,8,0.5265,"mod3",0.992351588579122,0.023340145227329,42.5169414720341,1.48418402347116e-13,NA,NA,NA,NA,0.83
"822",75,8,0.6031,"mod3",0.96754791917874,0.0162540160982578,59.5266987143226,3.71862724976089e-15,NA,NA,NA,NA,0.83
"833",76,8,0.5203,"mod3",0.961280179846906,0.0307399706035167,31.2713434975417,2.62652932222141e-11,NA,NA,NA,NA,0.83
"844",77,8,0.5997,"mod3",0.944061538645557,0.0247209256371874,38.1887617195618,4.79939510035562e-13,NA,NA,NA,NA,0.83
