"","replicate","area","area_original","species","links","connectances","links_per_sp","indegree","outdegree","basal","top","intermediate","S_basal","S_intermediate","S_top","sd_gen","sd_vul","modularity","normalised_indegree","normalised_outdegree","consumers","resources","potential_indegree"
"1372",40,7,8.7,50,109,0.0889795918367347,2.18,2.18,2.18,0.86,0.1,0.04,43,2,5,3.62224717278499,0.478778622742014,0.175027340650558,7.14285714285714,1.11111111111111,7,45,18
"1373",40,8,9.6,51,120,0.0941176470588235,2.35294117647059,2.35294117647059,2.35294117647059,0.843137254901961,0.0784313725490196,0.0784313725490196,43,4,4,3.55359325190715,0.440227214061103,0.166562512516975,6.375,1.08510638297872,8,47,16.375
"1374",40,9,10.3,52,121,0.0912518853695324,2.32692307692308,2.32692307692308,2.32692307692308,0.865384615384615,0.0576923076923077,0.0769230769230769,45,4,3,3.50552541687273,0.439921803229458,0.200293689966202,7.42857142857143,1.06122448979592,7,49,18.5714285714286
"1375",40,10,11.4,52,152,0.114630467571644,2.92307692307692,2.92307692307692,2.92307692307692,0.846153846153846,0.0961538461538462,0.0576923076923077,44,3,5,3.26371961608876,0.47830562933438,0.106648191809654,6.5,1.1063829787234,8,47,21
"1376",40,11,13.4,52,116,0.0874811463046757,2.23076923076923,2.23076923076923,2.23076923076923,0.769230769230769,0.0576923076923077,0.0576923076923077,40,3,3,3.75224164191246,0.544450019376762,0.102705091238022,8.66666666666667,1.2093023255814,6,43,20.6666666666667
"1377",40,12,15.4,53,160,0.11611030478955,3.0188679245283,3.0188679245283,3.0188679245283,0.830188679245283,0.0943396226415094,0.0754716981132075,44,4,5,3.1320818793637,0.488266778631707,0.152597665786743,5.88888888888889,1.10416666666667,9,48,19.4444444444444
"1378",40,13,17.4,54,161,0.112508735150245,2.98148148148148,2.98148148148148,2.98148148148148,0.851851851851852,0.0925925925925926,0.0555555555555556,46,3,5,3.31680376367088,0.467530035674726,0.109582960605621,6.75,1.10204081632653,8,49,21
"1379",40,14,18.5,55,167,0.112457912457912,3.03636363636364,3.03636363636364,3.03636363636364,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21375158088516,0.478369177211732,0.147351980209351,6.11111111111111,1.1,9,50,19.4444444444444
"1380",40,15,19.5,55,166,0.111784511784512,3.01818181818182,3.01818181818182,3.01818181818182,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.25162451608788,0.474989095268592,0.142999723553658,6.11111111111111,1.1,9,50,19.4444444444444
"1381",40,16,21.4,55,167,0.112457912457912,3.03636363636364,3.03636363636364,3.03636363636364,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21375158088516,0.478369177211732,0.147351980209351,6.11111111111111,1.1,9,50,19.4444444444444
"1382",40,17,23,55,169,0.113804713804714,3.07272727272727,3.07272727272727,3.07272727272727,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21310593657348,0.472255145673685,0.145915776491165,6.11111111111111,1.1,9,50,19.4444444444444
"1383",40,18,24.2,55,168,0.113131313131313,3.05454545454545,3.05454545454545,3.05454545454545,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21472251914772,0.477415201945111,0.14663054049015,6.11111111111111,1.1,9,50,19.4444444444444
"1384",40,19,26.2,55,126,0.0848484848484849,2.29090909090909,2.29090909090909,2.29090909090909,0.854545454545454,0.0909090909090909,0.0545454545454545,47,3,5,3.66527366389371,0.472773355756471,0.208112850785255,6.875,1.1,8,50,16.625
"1385",40,20,26.9,55,166,0.111784511784512,3.01818181818182,3.01818181818182,3.01818181818182,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.25162451608788,0.474989095268592,0.142999723553658,6.11111111111111,1.1,9,50,19.4444444444444
"1386",40,21,28.6,55,169,0.113804713804714,3.07272727272727,3.07272727272727,3.07272727272727,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.23440029106873,0.472255145673685,0.142572045326233,6.11111111111111,1.1,9,50,19.4444444444444
"1387",40,22,29.4,55,171,0.115151515151515,3.10909090909091,3.10909090909091,3.10909090909091,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.22153581945535,0.461855314614153,0.144506007432938,6.11111111111111,1.1,9,50,19.4444444444444
"1388",40,23,30.4,55,166,0.111784511784512,3.01818181818182,3.01818181818182,3.01818181818182,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.25162451608788,0.474989095268592,0.142999723553658,6.11111111111111,1.1,9,50,19.4444444444444
"1389",40,24,31.6,55,167,0.112457912457912,3.03636363636364,3.03636363636364,3.03636363636364,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21375158088516,0.478369177211732,0.147351980209351,6.11111111111111,1.1,9,50,19.4444444444444
"1390",40,25,32.5,55,168,0.113131313131313,3.05454545454545,3.05454545454545,3.05454545454545,0.836363636363636,0.0909090909090909,0.0727272727272727,46,4,5,3.21225195310537,0.477415201945111,0.14663054049015,6.11111111111111,1.1,9,50,19.4444444444444
