"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"127",4,22,27.3,"mod3",0.312431661001536,0.0343932420570298,9.08410031492442,1.73055031183586e-05,NA,NA,NA,NA,0.45
"267",8,22,27,"mod3",0.356136048445203,0.0366522384852074,9.71662477283447,6.82207568430113e-05,NA,NA,NA,NA,0.45
"372",11,22,27,"mod3",0.336575106407904,0.033277268016521,10.1142649763438,1.98493330408331e-05,NA,NA,NA,NA,0.45
"477",14,22,30,"mod3",0.311379974316279,0.0341621460063712,9.1147662169176,1.68812750196225e-05,NA,NA,NA,NA,0.45
"547",16,22,27.7,"mod3",0.31239494944207,0.0345298861257115,9.04708889872231,1.78334151039484e-05,NA,NA,NA,NA,0.45
"652",19,22,29.5,"mod3",0.331640971955137,0.03829105338727,8.66105637264583,0.000130638732681034,NA,NA,NA,NA,0.45
"687",20,22,28,"mod3",0.322284533668357,0.0335197601882537,9.61476251197329,1.13724883565872e-05,NA,NA,NA,NA,0.45
"722",21,22,30,"mod3",0.332232186518894,0.0381883217172418,8.69983732144198,0.000127404016056703,NA,NA,NA,NA,0.45
"757",22,22,26.4,"mod3",0.337438799099328,0.0336750618947306,10.0204358986532,2.1108167204641e-05,NA,NA,NA,NA,0.45
"792",23,22,29.9,"mod3",0.279808256311087,0.0479523402436337,5.83513244378589,0.00209053692494815,NA,NA,NA,NA,0.45
"827",24,22,28.9,"mod3",0.315980417942358,0.0334780811159502,9.43842679775975,1.30458103478724e-05,NA,NA,NA,NA,0.45
"967",28,22,25.6,"mod3",0.317452087471631,0.033712281949756,9.41651140509425,1.32723102594231e-05,NA,NA,NA,NA,0.45
"1037",30,22,29.5,"mod3",0.333136186272684,0.0329215582135919,10.119089263981,1.97869485369892e-05,NA,NA,NA,NA,0.45
"1141",33,22,30.8,"mod3",0.33479896496504,0.0373889251361857,8.95449558246368,0.000289567458510075,NA,NA,NA,NA,0.45
"1176",34,22,28.7,"mod3",0.344599225016025,0.0331459252595462,10.3964279867788,1.65479648629321e-05,NA,NA,NA,NA,0.45
"1211",35,22,29.2,"mod3",0.315980417942358,0.0334780811159502,9.43842679775975,1.30458103478724e-05,NA,NA,NA,NA,0.45
"1246",36,22,29,"mod3",0.355261460667613,0.03452944797164,10.288651615844,4.92331023733661e-05,NA,NA,NA,NA,0.45
"1351",39,22,29.1,"mod3",0.304519783213942,0.0372753963830007,8.16945794714117,7.97116320287921e-05,NA,NA,NA,NA,0.45
"1456",42,22,29,"mod3",0.33380578023861,0.0385615661463834,8.65643731822123,0.000131030294831915,NA,NA,NA,NA,0.45
"1491",43,22,27.3,"mod3",0.335441544181758,0.0389540273203845,8.61121602197528,0.000134936229683269,NA,NA,NA,NA,0.45
"1665",48,22,27.8,"mod3",0.312073912039117,0.0343724335234375,9.07919166754149,1.73745054274628e-05,NA,NA,NA,NA,0.45
"1735",50,22,30.4,"mod3",0.314562643511579,0.0332556391793759,9.4589264038762,1.28378386045947e-05,NA,NA,NA,NA,0.45
"1875",54,22,26.7,"mod3",0.311379974316279,0.0341621460063712,9.1147662169176,1.68812750196225e-05,NA,NA,NA,NA,0.45
"1980",57,22,27.6,"mod3",0.337940199121468,0.0335664503978344,10.0677967171432,2.04617914938179e-05,NA,NA,NA,NA,0.45
"2015",58,22,27.5,"mod3",0.343341312143017,0.0415904572418644,8.25529063425191,0.000425282875539098,NA,NA,NA,NA,0.45
"2154",62,22,27.6,"mod3",0.329521368897338,0.0373984526550746,8.81109632894465,4.89576347432133e-05,NA,NA,NA,NA,0.45
"2189",63,22,31.2,"mod3",0.316307752073039,0.0337027583825563,9.38521851780392,1.36033676830201e-05,NA,NA,NA,NA,0.45
"2294",66,22,29.6,"mod3",0.284182811371201,0.0412412284368872,6.89074555104719,0.000985485206362857,NA,NA,NA,NA,0.45
"2434",70,22,29.5,"mod3",0.302832485409002,0.0370766148040145,8.16774905178811,7.98185631473606e-05,NA,NA,NA,NA,0.45
"2504",72,22,28.9,"mod3",0.315980417942358,0.0334780811159502,9.43842679775975,1.30458103478724e-05,NA,NA,NA,NA,0.45
"2574",74,22,29,"mod3",0.303324530318877,0.0368821572783443,8.22415370201181,7.63731579915598e-05,NA,NA,NA,NA,0.45
"2679",77,22,28.9,"mod3",0.324310999429338,0.0346597134835128,9.3570017416217,8.44998443256326e-05,NA,NA,NA,NA,0.45
"2714",78,22,27.9,"mod3",0.335647608656647,0.0334500706398182,10.034286990626,2.09167634647962e-05,NA,NA,NA,NA,0.45
"2889",83,22,32.6,"mod3",0.302407854542593,0.0370831843059472,8.1548513214949,8.06308640322465e-05,NA,NA,NA,NA,0.45
"2924",84,22,29.8,"mod3",0.343341312143017,0.0415904572418644,8.25529063425191,0.000425282875539098,NA,NA,NA,NA,0.45
"2994",86,22,30.7,"mod3",0.311379974316279,0.0341621460063712,9.1147662169176,1.68812750196225e-05,NA,NA,NA,NA,0.45
"3029",87,22,28.8,"mod3",0.340835679283322,0.0341978573062414,9.96657995941507,2.1871498612246e-05,NA,NA,NA,NA,0.45
"3099",89,22,25.7,"mod3",0.303324530318877,0.0368821572783443,8.22415370201181,7.63731579915598e-05,NA,NA,NA,NA,0.45
"3169",91,22,29.1,"mod3",0.300095804582289,0.036523820988608,8.21644057109716,7.68342332059742e-05,NA,NA,NA,NA,0.45
"3274",94,22,27.4,"mod3",0.344376319155559,0.0331111070314226,10.4006283700736,1.65037653420502e-05,NA,NA,NA,NA,0.45
"3309",95,22,27.8,"mod3",0.344183530153023,0.0328746255101858,10.4695802556407,1.57970176755669e-05,NA,NA,NA,NA,0.45
"3414",98,22,31.6,"mod3",0.314562643511579,0.0332556391793759,9.4589264038762,1.28378386045947e-05,NA,NA,NA,NA,0.45
"3449",99,22,26.7,"mod3",0.332232186518894,0.0381883217172418,8.69983732144198,0.000127404016056703,NA,NA,NA,NA,0.45
"23",1,23,31.3,"mod1",0.177758674170775,0.0620618349502592,2.86421879587099,0.0241911659316625,55.9093933092317,25.6484156247557,2.17983808930749,0.0656564050641817,0.42
"58",2,23,29.7,"mod1",0.179758865943415,0.0616814107166559,2.91431184622492,0.0225217477749564,57.9733637487598,26.993116142465,2.14770919529211,0.0688461144771231,0.42
"303",9,23,32,"mod1",0.177662672309972,0.0644826763322292,2.75520003845085,0.0282910464872897,54.7594975877887,25.8703382125194,2.11669044053274,0.072072864239896,0.42
"443",13,23,31.7,"mod1",0.179758865943415,0.0616814107166559,2.91431184622492,0.0225217477749564,57.9733637487598,26.993116142465,2.14770919529211,0.0688461144771231,0.42
"548",16,23,28.6,"mod1",0.178707504525278,0.0630341949192539,2.83508823669756,0.0252215284904141,56.3515614435305,26.4164762492237,2.13319751324466,0.0703373060691407,0.42
"583",17,23,30.9,"mod1",0.179758865943415,0.0616814107166559,2.91431184622492,0.0225217477749564,57.9733637487598,26.993116142465,2.14770919529211,0.0688461144771231,0.42
"688",20,23,30,"mod1",0.187307176792182,0.0626965470607061,2.98751981685405,0.0202975007205227,56.1842449847356,26.5970188070388,2.1124264111084,0.072528098423306,0.42
"863",25,23,31.3,"mod1",0.178707504525278,0.0630341949192539,2.83508823669756,0.0252215284904141,56.3515614435305,26.4164762492237,2.13319751324466,0.0703373060691407,0.42
"898",26,23,29.4,"mod1",0.176600422899896,0.0617487022761691,2.85998598173054,0.0243380875432291,55.0448960035837,24.8822528119835,2.21221512455148,0.0625922712889836,0.42
"933",27,23,32,"mod1",0.176600422899896,0.0617487022761691,2.85998598173054,0.0243380875432291,55.0448960035837,24.8822528119835,2.21221512455148,0.0625922712889836,0.42
"968",28,23,27.6,"mod1",0.177662672309972,0.0644826763322292,2.75520003845085,0.0282910464872897,54.7594975877887,25.8703382125194,2.11669044053274,0.072072864239896,0.42
"1003",29,23,30.5,"mod1",0.178707504525278,0.0630341949192539,2.83508823669756,0.0252215284904141,56.3515614435305,26.4164762492237,2.13319751324466,0.0703373060691407,0.42
"1038",30,23,31.5,"mod1",0.179758865943415,0.0616814107166559,2.91431184622492,0.0225217477749564,57.9733637487598,26.993116142465,2.14770919529211,0.0688461144771231,0.42
"1073",31,23,29.7,"mod1",0.180807242975001,0.0626508581932756,2.88594998040119,0.0234514536426129,58.4649335978016,27.8393289853235,2.10008415176326,0.0738620178129622,0.42
"1247",36,23,30.9,"mod1",0.175517413009286,0.0614596321540936,2.85581619768278,0.0244837408070315,54.2148318293935,24.1699803881381,2.24306478361896,0.0598068587521029,0.42
"1282",37,23,30,"mod1",0.177662672309972,0.0644826763322292,2.75520003845085,0.0282910464872897,54.7594975877887,25.8703382125194,2.11669044053274,0.072072864239896,0.42
"1352",39,23,30.1,"mod1",0.187307176792182,0.0626965470607061,2.98751981685405,0.0202975007205227,56.1842449847356,26.5970188070388,2.1124264111084,0.072528098423306,0.42
