"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"28055",77,240,"Salgal","mod3",1.99098711235699,0.208882659517777,9.53160552892875,0.00244920929634035,NA,NA,NA,NA,0.96
"28425",78,240,"Salgal","mod3",1.8881160148882,0.146925605437413,12.8508302502283,0.000211395064852626,NA,NA,NA,NA,0.96
"28794",79,240,"Salgal","mod3",2.04010231563164,0.12778263768218,15.9654108933466,8.9982195299234e-05,NA,NA,NA,NA,0.96
"29161",80,240,"Salgal","mod3",1.92778390480626,0.156281679973728,12.335315982848,0.000248174870663749,NA,NA,NA,NA,0.96
"29523",81,240,"Salgal","mod3",1.81954241889097,0.173637471490104,10.4789732497036,0.000468769316050016,NA,NA,NA,NA,0.96
"29892",82,240,"Salgal","mod3",2.06401151106506,0.106492662172771,19.381725171979,4.17746840766692e-05,NA,NA,NA,NA,0.96
"30252",83,240,"Salgal","mod3",1.92362075960937,0.137741689505251,13.9654215547868,0.000794968220065931,NA,NA,NA,NA,0.96
"30614",84,240,"Salgal","mod3",2.0325341660611,0.156292860109057,13.0046514258095,0.000201756612193679,NA,NA,NA,NA,0.96
"30973",85,240,"Salgal","mod3",1.98944842896,0.135238299617408,14.710687982533,0.00012426742297797,NA,NA,NA,NA,0.96
"31335",86,240,"Salgal","mod3",1.93103426390797,0.162922892844871,11.8524427733224,0.000290125485542232,NA,NA,NA,NA,0.96
"31703",87,240,"Salgal","mod3",1.94163062777799,0.141941459591531,13.6790944193858,0.00084528996908185,NA,NA,NA,NA,0.96
"32070",88,240,"Salgal","mod3",1.76097072417805,0.152520601035472,11.5457893046756,0.00139506385836868,NA,NA,NA,NA,0.96
"32441",89,240,"Salgal","mod3",2.09466973543578,0.144132888055964,14.5329061513182,0.000706414976485245,NA,NA,NA,NA,0.96
"32796",90,240,"Salgal","mod3",1.81937145432943,0.167905927630695,10.8356594671934,0.00168169186754094,NA,NA,NA,NA,0.96
"33170",91,240,"Salgal","mod3",1.92713463549427,0.145198920116094,13.2723758134939,0.000186250224215158,NA,NA,NA,NA,0.96
"33528",92,240,"Salgal","mod3",1.96175365600053,0.152066773685286,12.9006068088255,0.000208214523147174,NA,NA,NA,NA,0.96
"33891",93,240,"Salgal","mod3",1.95163725898771,0.141493563919047,13.7931168381928,0.00016011589898624,NA,NA,NA,NA,0.96
"34258",94,240,"Salgal","mod3",2.12268341544647,0.14024575737094,15.1354554693026,0.000626182823111697,NA,NA,NA,NA,0.96
"34617",95,240,"Salgal","mod3",1.97237034035016,0.178587534160847,11.0442778081796,0.00158996407369321,NA,NA,NA,NA,0.96
"34985",96,240,"Salgal","mod3",1.84484611350195,0.163832457336149,11.2605654795052,0.000354335874254406,NA,NA,NA,NA,0.96
"35355",97,240,"Salgal","mod3",2.02324837965409,0.10830388320122,18.6812173289767,4.83369804609613e-05,NA,NA,NA,NA,0.96
"35725",98,240,"Salgal","mod3",1.93147226217922,0.129690726372691,14.8929095872959,0.000656942927478193,NA,NA,NA,NA,0.96
"36083",99,240,"Salgal","mod3",1.83218955559287,0.196766260780773,9.31150263425602,0.00262220716135234,NA,NA,NA,NA,0.96
