"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"3039",9,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"3405",10,98,"Salgal","mod3",2.36214270473001,0.233617715018723,10.1111454862946,0.00206055645706779,NA,NA,NA,NA,0.73
"3776",11,98,"Salgal","mod3",2.13718972325395,0.23070845416608,9.26359517677427,0.0026619907775441,NA,NA,NA,NA,0.73
"4520",13,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"4893",14,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"5267",15,98,"Salgal","mod3",2.10760649382747,0.199217676821351,10.5794150772949,0.00180422352748601,NA,NA,NA,NA,0.73
"5996",17,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"6369",18,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"7085",20,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"7459",21,98,"Salgal","mod3",2.10760649382747,0.199217676821351,10.5794150772949,0.00180422352748601,NA,NA,NA,NA,0.73
"7804",22,98,"Salgal","mod3",2.59920688281037,0.170496133351755,15.2449608780739,0.000612921991390524,NA,NA,NA,NA,0.73
"8173",23,98,"Salgal","mod3",2.18579944931197,0.173921287459806,12.5677510857727,0.00108614307943521,NA,NA,NA,NA,0.73
"8906",25,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"9254",26,98,"Salgal","mod3",2.6638974661801,0.152169027790462,17.5061739229109,0.000406273830097765,NA,NA,NA,NA,0.73
"9627",27,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"10371",29,98,"Salgal","mod3",2.30595351441144,0.247843836693302,9.30405833438165,0.00262833719678397,NA,NA,NA,NA,0.73
"10741",30,98,"Salgal","mod3",2.34728995130449,0.235752665285928,9.9565786391328,0.00215570724304673,NA,NA,NA,NA,0.73
"11106",31,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"11468",32,98,"Salgal","mod3",2.34491007818606,0.126630313294569,18.5177625892095,0.00034368809387729,NA,NA,NA,NA,0.73
"12560",35,98,"Salgal","mod3",2.55051123901282,0.176659770397539,14.4374196415708,0.000720363383546484,NA,NA,NA,NA,0.73
"12926",36,98,"Salgal","mod3",2.27421023546203,0.145264831607814,15.6556147161754,0.000566393132761607,NA,NA,NA,NA,0.73
"13297",37,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"13671",38,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"14043",39,98,"Salgal","mod3",2.16936757441919,0.220543884523886,9.83644402157176,0.00223372175789429,NA,NA,NA,NA,0.73
"14408",40,98,"Salgal","mod3",2.1356916868781,0.165098206307749,12.9358866740024,0.00099727980947453,NA,NA,NA,NA,0.73
"15521",43,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"16254",45,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"16625",46,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"16991",47,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"17349",48,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"17722",49,98,"Salgal","mod3",2.09402269930735,0.201166173046151,10.4094175854653,0.00189211508286077,NA,NA,NA,NA,0.73
"18468",51,98,"Salgal","mod3",2.13718972325395,0.23070845416608,9.26359517677427,0.0026619907775441,NA,NA,NA,NA,0.73
"19214",53,98,"Salgal","mod3",2.16936757441919,0.220543884523886,9.83644402157176,0.00223372175789429,NA,NA,NA,NA,0.73
"19583",54,98,"Salgal","mod3",2.32297506183243,0.1802505731408,12.8874767017682,0.00100839991885156,NA,NA,NA,NA,0.73
"20322",56,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"20689",57,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"21051",58,98,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
"21415",59,98,"Salgal","mod3",2.46042390734184,0.197705048496853,12.4449219989494,0.00111812496058784,NA,NA,NA,NA,0.73
"21787",60,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"22158",61,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"22531",62,98,"Salgal","mod3",2.09402269930735,0.201166173046151,10.4094175854653,0.00189211508286077,NA,NA,NA,NA,0.73
"23641",65,98,"Salgal","mod3",2.46042390734184,0.197705048496853,12.4449219989494,0.00111812496058784,NA,NA,NA,NA,0.73
"24367",67,98,"Salgal","mod3",2.39022530866148,0.110470093455174,21.6368542281661,0.000216052255297665,NA,NA,NA,NA,0.73
"24738",68,98,"Salgal","mod3",2.30595351441144,0.247843836693302,9.30405833438165,0.00262833719678397,NA,NA,NA,NA,0.73
"25111",69,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"25482",70,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"26965",74,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"27338",75,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"27686",76,98,"Salgal","mod3",2.64740349853057,0.154165958484229,17.1724259010227,0.000430228574460753,NA,NA,NA,NA,0.73
"28428",78,98,"Salgal","mod3",2.30595351441144,0.247843836693302,9.30405833438165,0.00262833719678397,NA,NA,NA,NA,0.73
"29173",80,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"29918",82,98,"Salgal","mod3",2.30595351441144,0.247843836693302,9.30405833438165,0.00262833719678397,NA,NA,NA,NA,0.73
"30663",84,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"31037",85,98,"Salgal","mod3",2.09402269930735,0.201166173046151,10.4094175854653,0.00189211508286077,NA,NA,NA,NA,0.73
"32138",88,98,"Salgal","mod3",2.09420646688746,0.178727851440686,11.7172922407254,0.00133572492099547,NA,NA,NA,NA,0.73
"32510",89,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"32882",90,98,"Salgal","mod3",2.16936757441919,0.220543884523886,9.83644402157176,0.00223372175789429,NA,NA,NA,NA,0.73
"33253",91,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"33624",92,98,"Salgal","mod3",2.06300794444386,0.142352914527132,14.4922072814369,0.000712315852030783,NA,NA,NA,NA,0.73
"33989",93,98,"Salgal","mod3",2.09402269930735,0.201166173046151,10.4094175854653,0.00189211508286077,NA,NA,NA,NA,0.73
"34359",94,98,"Salgal","mod3",2.34728995130449,0.235752665285928,9.9565786391328,0.00215570724304673,NA,NA,NA,NA,0.73
"34729",95,98,"Salgal","mod3",2.21763364394559,0.207831253244769,10.6703568848417,0.00175942103682805,NA,NA,NA,NA,0.73
"35476",97,98,"Salgal","mod3",2.16936757441919,0.220543884523886,9.83644402157176,0.00223372175789429,NA,NA,NA,NA,0.73
"35847",98,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"36221",99,98,"Salgal","mod3",2.13718972325395,0.23070845416608,9.26359517677427,0.0026619907775441,NA,NA,NA,NA,0.73
"36592",100,98,"Salgal","mod3",2.2912902845623,0.250020958827646,9.16439283852926,0.00274694752762387,NA,NA,NA,NA,0.73
"83",1,99,"Salgal","mod3",2.47676606102518,0.195519047818974,12.6676458823508,0.00106102299342693,NA,NA,NA,NA,0.73
