"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"30615",90,5,"Galpar","mod2",NA,NA,NA,NA,6.50992150264463,1.95069505194765,3.3372317708731,0.0444789902532166,0.414893617021277
"31303",92,5,"Galpar","mod2",NA,NA,NA,NA,3.83323149741961,2.84258010984363,1.34850429866354,0.40621377026065,0.414893617021277
"32678",96,5,"Galpar","mod2",NA,NA,NA,NA,63.6831115118105,33.1701487065463,1.91989225237457,0.150653591680116,0.414893617021277
"33361",98,5,"Galpar","mod2",NA,NA,NA,NA,5.41704939015853,1.03474444342661,5.2351567815331,0.00194746769253335,0.414893617021277
"34052",100,5,"Galpar","mod2",NA,NA,NA,NA,4.65940354460776,1.11700128443525,4.17135021197719,0.00418209829272333,0.414893617021277
"6",1,6,"Galpar","mod3",0.792276659544269,0.176763698206704,4.48212312585695,0.0109719445581403,NA,NA,NA,NA,0.521739130434783
"350",2,6,"Galpar","mod3",1.01256084783613,0.19749185087595,5.12710192013012,0.00368504892444719,NA,NA,NA,NA,0.521739130434783
"1036",4,6,"Galpar","mod3",1.32134571782338,0.178461059707594,7.40411224716689,0.00509615951570441,NA,NA,NA,NA,0.521739130434783
"1725",6,6,"Galpar","mod3",0.810994972111391,0.269820431594018,3.00568406669679,0.057408476995068,NA,NA,NA,NA,0.521739130434783
"2411",8,6,"Galpar","mod3",1.1346287912284,0.245857452155566,4.6149863723084,0.0191435486716885,NA,NA,NA,NA,0.521739130434783
"3443",11,6,"Galpar","mod3",0.799953097693466,0.174867874621607,4.57461440201335,0.0059767130783779,NA,NA,NA,NA,0.521739130434783
"4475",14,6,"Galpar","mod3",0.871228090653433,0.208561525760853,4.17731931848459,0.0249875856960616,NA,NA,NA,NA,0.521739130434783
"4817",15,6,"Galpar","mod3",0.606670313532721,0.112675591617298,5.38422123926602,0.00298011575512954,NA,NA,NA,NA,0.521739130434783
"5159",16,6,"Galpar","mod3",0.928078968859609,0.257450553717722,3.60488239569757,0.0366356747653735,NA,NA,NA,NA,0.521739130434783
"5504",17,6,"Galpar","mod3",0.949037123603629,0.157223570423317,6.03622676325432,0.00179703921131332,NA,NA,NA,NA,0.521739130434783
"5847",18,6,"Galpar","mod3",1.09795961819471,0.218437466198202,5.02642535323339,0.00735197972828999,NA,NA,NA,NA,0.521739130434783
"6192",19,6,"Galpar","mod3",0.692069725563378,0.201299169398426,3.43801580320277,0.0263415322406725,NA,NA,NA,NA,0.521739130434783
"6881",21,6,"Galpar","mod3",0.843461743010378,0.175558341395026,4.80445267543565,0.00862010496345648,NA,NA,NA,NA,0.521739130434783
"7222",22,6,"Galpar","mod3",0.869551701043044,0.203304602764009,4.27708811911355,0.0234715275503209,NA,NA,NA,NA,0.521739130434783
"7910",24,6,"Galpar","mod3",0.790157639244354,0.281865279474032,2.80331667922636,0.0676664802176622,NA,NA,NA,NA,0.521739130434783
"9627",29,6,"Galpar","mod3",1.2037315885699,0.164572091557912,7.31431178381974,0.00527803089156846,NA,NA,NA,NA,0.521739130434783
"10655",32,6,"Galpar","mod3",0.100486330369356,0.0695643543735438,1.44450891946425,0.285439767477632,NA,NA,NA,NA,0.521739130434783
"11687",35,6,"Galpar","mod3",1.01961980342037,0.243554146528939,4.18641939770555,0.0138464203717529,NA,NA,NA,NA,0.521739130434783
"12032",36,6,"Galpar","mod3",1.16806290159056,0.156425022666016,7.46723818020149,0.00171906364819337,NA,NA,NA,NA,0.521739130434783
"13409",40,6,"Galpar","mod3",0.663535064148074,0.17375675762489,3.81875832179447,0.0187982992882038,NA,NA,NA,NA,0.521739130434783
"14439",43,6,"Galpar","mod3",0.99726084737464,0.131561170106098,7.58020658048565,0.00162422670679195,NA,NA,NA,NA,0.521739130434783
"14783",44,6,"Galpar","mod3",0.889646331650823,0.257303578956661,3.45757464881851,0.0407118265887029,NA,NA,NA,NA,0.521739130434783
"15814",47,6,"Galpar","mod3",1.12422717942318,0.308259064695602,3.64702066598859,0.0355664039207877,NA,NA,NA,NA,0.521739130434783
"16159",48,6,"Galpar","mod3",0.880478147495348,0.170235891752685,5.17210641322623,0.00664232916842893,NA,NA,NA,NA,0.521739130434783
"16504",49,6,"Galpar","mod3",0.830547122048554,0.183425559766935,4.52797921458639,0.00398368630094959,NA,NA,NA,NA,0.521739130434783
"16849",50,6,"Galpar","mod3",1.29199299764522,0.206488266413061,6.25698021533441,0.00332761762375503,NA,NA,NA,NA,0.521739130434783
"17194",51,6,"Galpar","mod3",1.67528974689952,0.0889150058535404,18.8414737289568,0.000326391988075401,NA,NA,NA,NA,0.521739130434783
"17537",52,6,"Galpar","mod3",0.607515940505897,0.159041868528909,3.81984911347711,0.0187807230830467,NA,NA,NA,NA,0.521739130434783
"18917",56,6,"Galpar","mod3",0.711377895476545,0.143180030509456,4.9684155880213,0.00766011128971954,NA,NA,NA,NA,0.521739130434783
"19607",58,6,"Galpar","mod3",0.120394859225299,0.0822119321968834,1.46444507516225,0.280663977639505,NA,NA,NA,NA,0.521739130434783
"19951",59,6,"Galpar","mod3",0.860472876384207,0.20570672116222,4.18300807830989,0.0248977984828699,NA,NA,NA,NA,0.521739130434783
"20979",62,6,"Galpar","mod3",1.04021876801726,0.291364145663603,3.57016737817236,0.0375475983746588,NA,NA,NA,NA,0.521739130434783
"21324",63,6,"Galpar","mod3",0.743800195106699,0.230112070014089,3.23233889930745,0.0319047019336042,NA,NA,NA,NA,0.521739130434783
"21667",64,6,"Galpar","mod3",0.811939560495664,0.114091447515792,7.11656814051093,0.00206043468645892,NA,NA,NA,NA,0.521739130434783
"24075",71,6,"Galpar","mod3",0.950619584853044,0.182343266736858,5.21335172866512,0.0137211496455815,NA,NA,NA,NA,0.521739130434783
"24765",73,6,"Galpar","mod3",0.805517927077893,0.182229381888217,4.420351530205,0.0115077551533362,NA,NA,NA,NA,0.521739130434783
"25798",76,6,"Galpar","mod3",1.19150230553593,0.234823227032969,5.07403939802191,0.0147838137921765,NA,NA,NA,NA,0.521739130434783
"26143",77,6,"Galpar","mod3",0.776510724784082,0.101785826633873,7.62886887559715,0.000615460453826674,NA,NA,NA,NA,0.521739130434783
"26831",79,6,"Galpar","mod3",1.35752201090862,0.15274858227072,8.88729696032566,0.00300409039175864,NA,NA,NA,NA,0.521739130434783
"27522",81,6,"Galpar","mod3",1.35853219545316,0.20772234318191,6.540135137333,0.00726632392697286,NA,NA,NA,NA,0.521739130434783
"28557",84,6,"Galpar","mod3",1.46149889433047,0.143957579886205,10.1522885803287,0.000530046600319592,NA,NA,NA,NA,0.521739130434783
