"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"147480",21,1212,"Pannonian","mod1",-0.941913690698667,0.0943647153255937,-9.98163018294191,6.88088362790898e-11,10.4592720856877,0.974244377178389,10.7357787539713,1.28694565323401e-11,0.833333333333333
"147567",22,1212,"Pannonian","mod1",-0.778720167985965,0.0810729031631246,-9.60518419352917,4.39599051275167e-11,12.3996279636448,1.18924964161621,10.4264298510055,5.63138588470307e-12,0.833333333333333
"151630",67,1212,"Pannonian","mod1",-0.802691111303535,0.0760601863253458,-10.5533676695195,4.13116860180646e-12,11.9395940406629,1.03985955899336,11.4819293984479,4.5606276332695e-13,0.833333333333333
"148496",32,1213,"Pannonian","mod1",-0.742634319630692,0.073899319685527,-10.0492713977736,1.43127236937491e-11,12.7247491351399,1.15869461964575,10.9819696401372,1.47378166716049e-12,1
"149040",38,1213,"Pannonian","mod1",-0.969997225159873,0.0926844959384083,-10.465582353757,1.56877940622336e-11,10.226150441463,0.907189835381379,11.2723379855375,2.61962435564618e-12,1
"149507",43,1213,"Pannonian","mod1",-0.742848831840176,0.072396298462799,-10.2608675804315,8.46169037462667e-12,12.7497169639866,1.12800880605246,11.3028523319823,6.91711307464054e-13,1
"150144",50,1216,"Pannonian","mod1",-0.883704258456304,0.0814360416158587,-10.8515129286958,2.01189733272433e-12,11.1539917310204,0.949404856949208,11.7484039073303,2.47184134609853e-13,1
"150415",53,1217,"Pannonian","mod1",-0.612501238089613,0.0704880917301837,-8.68942856949741,2.30250057660838e-10,14.5120230632247,1.47196602501441,9.85893887264322,9.06775547035845e-12,1
"147658",23,1218,"Pannonian","mod1",-0.877021561923336,0.0872040544373773,-10.0571191050886,2.79671148022094e-11,10.8655579754622,1.00089210352666,10.855873412506,4.35078093172647e-12,1
"147952",26,1218,"Pannonian","mod1",-0.777235377590373,0.077748715721991,-9.99676162329886,1.63215512439123e-11,12.0365067133458,1.10284999308959,10.9140017126228,1.7327697846468e-12,1
