"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"667",56,7,10.96,"mod3",1.31423531972594,0.0209966320185691,62.5926728898067,1.63577296056704e-17,NA,NA,NA,NA,0.99
"679",57,7,15.48,"mod3",1.24828655916837,0.0203652424503828,61.2949520345587,2.01261260142291e-19,NA,NA,NA,NA,0.99
"691",58,7,13.3,"mod3",1.2560405789455,0.0203434452860384,61.7417827356664,1.8055901376633e-19,NA,NA,NA,NA,0.99
"703",59,7,6.79,"mod3",1.29095572376832,0.0273547430432007,47.1931219287837,6.33138855862475e-16,NA,NA,NA,NA,0.99
"715",60,7,9.93,"mod3",1.30694304325134,0.0237301387775183,55.0752380971968,8.58135058365949e-17,NA,NA,NA,NA,0.99
"727",61,7,10.29,"mod3",1.2748542165412,0.0220515660708536,57.8124117101245,4.57882677353322e-17,NA,NA,NA,NA,0.99
"739",62,7,11.31,"mod3",1.28190401553735,0.0240041426968048,53.4034492182879,1.27900638753227e-16,NA,NA,NA,NA,0.99
"751",63,7,11.69,"mod3",1.27714868868749,0.0225042420781333,56.7514642018741,7.0172086336629e-20,NA,NA,NA,NA,0.99
"763",64,7,10.52,"mod3",1.307023954955,0.022843888555567,57.215475893069,5.36270337174599e-16,NA,NA,NA,NA,0.99
"775",65,7,11.31,"mod3",1.26988578011178,0.0227817233244282,55.7414275482014,7.66862021323902e-18,NA,NA,NA,NA,0.99
"787",66,7,13.77,"mod3",1.27345403896057,0.0191277788702494,66.5761585596983,6.43536688993128e-19,NA,NA,NA,NA,0.99
"799",67,7,13.44,"mod3",1.25712520569384,0.023111634548666,54.3936086842637,9.81817838467377e-16,NA,NA,NA,NA,0.99
"811",68,7,14.33,"mod3",1.26527601546064,0.0228982377302816,55.2564800123192,8.66203726037284e-18,NA,NA,NA,NA,0.99
"823",69,7,10,"mod3",1.312301475328,0.019007342326656,69.0418183023736,7.30684554150437e-16,NA,NA,NA,NA,0.99
"835",70,7,12.73,"mod3",1.24706821812509,0.0210145365258685,59.3431226327534,3.44554059863542e-20,NA,NA,NA,NA,0.99
"847",71,7,9.45,"mod3",1.3094370944699,0.025712396663751,50.9262948761181,2.15736938084496e-15,NA,NA,NA,NA,0.99
"859",72,7,15.52,"mod3",1.28305997527973,0.0260402496372903,49.2721841438248,3.62545078520233e-16,NA,NA,NA,NA,0.99
"871",73,7,12.37,"mod3",1.29793821466429,0.0205366748700577,63.2009915371779,1.27349361190039e-19,NA,NA,NA,NA,0.99
"883",74,7,11.44,"mod3",1.27264575781239,0.0290520573029662,43.8057017628989,3.02353940776037e-17,NA,NA,NA,NA,0.99
"895",75,7,12.3,"mod3",1.31739096796407,0.0202248901101599,65.1371137637125,9.7594513483983e-18,NA,NA,NA,NA,0.99
"907",76,7,12.47,"mod3",1.29417340971576,0.0252105590076238,51.3345780759719,2.84312193108468e-18,NA,NA,NA,NA,0.99
