"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction","fraction"
"34",63,1,"mod2",NA,NA,NA,NA,11.5835253038396,1.840842376754,6.29251338958481,0.00325878021292401,0.58,1
"35",64,1,"mod2",NA,NA,NA,NA,13.3640432997352,13.4456057786223,0.993933893330653,0.501936770093387,0.58,1
"36",65,1,"mod2",NA,NA,NA,NA,9.0253156515978,1.62502042563378,5.5539705896791,0.00260104581856651,0.58,1
"37",66,1,"mod2",NA,NA,NA,NA,11.7567661547231,2.85223175834465,4.12195331614511,0.0145891947550528,0.58,1
"38",67,1,"mod2",NA,NA,NA,NA,7.92121578236022,1.74834723980731,4.53068795603398,0.00622156044204639,0.58,1
"39",68,1,"mod2",NA,NA,NA,NA,10.0108114501273,2.23035738850403,4.48843378273197,0.00646814373171863,0.58,1
"40",69,1,"mod2",NA,NA,NA,NA,7.02266016409362,1.9946625939641,3.52072585375811,0.0244340407161759,0.58,1
"41",70,1,"mod2",NA,NA,NA,NA,10.1932367478431,4.4910159695913,2.26969505716781,0.107955437155275,0.58,1
"42",71,1,"mod2",NA,NA,NA,NA,8.34808832898298,1.23769820174626,6.74484968727005,0.00026626189315729,0.58,1
"43",72,1,"mod2",NA,NA,NA,NA,9.1384323312865,2.16106288321923,4.22867488134979,0.0133842444753852,0.58,1
"44",74,1,"mod2",NA,NA,NA,NA,9.64651117453497,2.5605105034806,3.7674171464722,0.0196483161580036,0.58,1
"45",75,1,"mod2",NA,NA,NA,NA,7.35251349296739,0.940638927432913,7.81650990463796,0.000105673502148631,0.58,1
"46",76,1,"mod2",NA,NA,NA,NA,7.02266016409362,1.9946625939641,3.52072585375811,0.0244340407161759,0.58,1
"47",80,1,"mod2",NA,NA,NA,NA,8.44526935748003,1.74158420583762,4.84918807208536,0.0046771625769702,0.58,1
"48",81,1,"mod2",NA,NA,NA,NA,11.504193920681,4.37951204940756,2.62682093139513,0.0785393557089462,0.58,1
"49",82,1,"mod2",NA,NA,NA,NA,13.3640432997352,13.4456057786223,0.993933893330653,0.501936770093387,0.58,1
"50",83,1,"mod2",NA,NA,NA,NA,7.30498834007973,2.0700803857861,3.52884283636439,0.0242558425809047,0.58,1
"51",85,1,"mod2",NA,NA,NA,NA,9.15201722222433,1.69311488598632,5.40543190422241,0.00292936825378289,0.58,1
"52",87,1,"mod2",NA,NA,NA,NA,7.83729076486124,1.81003940924117,4.32990062252121,0.00750007046507446,0.58,1
"53",89,1,"mod2",NA,NA,NA,NA,6.92540391905523,1.28983353375543,5.3692230336821,0.00581033705694692,0.58,1
"54",91,1,"mod2",NA,NA,NA,NA,6.88234045206041,1.05501510654538,6.5234520428778,0.000326854428750202,0.58,1
"55",92,1,"mod2",NA,NA,NA,NA,7.83656151091209,1.52899812718214,5.12529176563115,0.00369066298460059,0.58,1
"56",93,1,"mod2",NA,NA,NA,NA,14.4179119132713,3.288189353732,4.38475719073397,0.0118308939234599,0.58,1
