"","replicate","area","species","links","connectances","links_per_sp","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"35",1,35,182,718,0.0435917673486734,3.94505494505495,16.6976744186047,4.27380952380952,0,0.752747252747253,0.0714285714285714,0.164835164835165,2.98556314541299,0.833165110449921,0.511627906976744,13,30,137,0.19949021935463,4.23255813953488,1.08333333333333,168,43,18.2790697674419
"36",1,36,182,695,0.0421953736870864,3.81868131868132,14.4791666666667,4.06432748538012,0,0.730769230769231,0.0604395604395604,0.203296703296703,2.91717175037106,0.847332358673541,0.481382978723404,11,37,133,0.226579383015633,3.79166666666667,1.06432748538012,171,48,16.3333333333333
"37",1,37,184,730,0.0433594678070801,3.96739130434783,15.531914893617,4.19540229885058,0,0.744565217391304,0.0597826086956522,0.195652173913043,2.94308625318849,0.84932076718144,0.50786308973173,11,36,137,0.189171507954597,3.91489361702128,1.05747126436782,174,47,16.9574468085106
"38",1,38,184,754,0.0447849845569019,4.09782608695652,15.7083333333333,4.35838150289017,0,0.733695652173913,0.0597826086956522,0.201086956521739,2.90787634418203,0.849620755552387,0.516843971631206,11,37,135,0.204069882631302,3.83333333333333,1.0635838150289,173,48,17.1041666666667
"39",1,39,184,731,0.0434188643383226,3.97282608695652,15.5531914893617,4.25,0,0.728260869565217,0.0543478260869565,0.201086956521739,2.91202224242762,0.864544906502535,0.515263644773358,10,37,134,0.186723947525024,3.91489361702128,1.06976744186047,172,47,17.3829787234043
"40",1,40,184,748,0.0444286053694464,4.06521739130435,17.8095238095238,4.32369942196532,0,0.760869565217391,0.0543478260869565,0.173913043478261,2.92538500274696,0.854692527502586,0.602787456445993,10,32,140,0.214966297149658,4.38095238095238,1.0635838150289,173,42,19.2857142857143
"41",1,41,184,743,0.0441316227132335,4.03804347826087,15.8085106382979,4.24571428571429,0,0.744565217391304,0.0543478260869565,0.201086956521739,2.88781895798712,0.846210994709091,0.514338575393155,10,37,137,0.198541224002838,3.91489361702128,1.05142857142857,175,47,17.0851063829787
"42",1,42,184,735,0.0436564504632929,3.9945652173913,15.6382978723404,4.29824561403509,0,0.733695652173913,0.0652173913043478,0.190217391304348,2.88148248851521,0.874869295514437,0.518038852913969,12,35,135,0.196405187249184,3.91489361702128,1.07602339181287,171,47,16.8510638297872
"43",1,43,184,676,0.040152055119981,3.67391304347826,14.695652173913,4.02380952380952,0,0.733695652173913,0.0760869565217391,0.173913043478261,2.85420949432175,0.919068728261328,0.489855072463768,14,32,135,0.249653160572052,4,1.0952380952381,168,46,15.8478260869565
"44",1,44,188,762,0.0433496415974514,4.0531914893617,16.9333333333333,4.25698324022346,0,0.75531914893617,0.0425531914893617,0.196808510638298,2.92865356223545,0.850358610866703,0.54040404040404,8,37,142,0.223795473575592,4.17777777777778,1.05027932960894,179,45,18.0888888888889
"45",1,45,188,749,0.0426100807827967,3.98404255319149,15.2857142857143,4.2316384180791,0,0.734042553191489,0.0585106382978723,0.202127659574468,2.94865244990876,0.850484510994987,0.488945578231293,11,38,138,0.230919376015663,3.83673469387755,1.06214689265537,177,49,16.1836734693878
"46",1,46,188,637,0.0362384799180794,3.38829787234043,14.1555555555556,3.70348837209302,0,0.75,0.0797872340425532,0.159574468085106,3.02603889552743,0.900955268449779,0.461616161616162,15,30,141,0.262490481138229,4.17777777777778,1.09302325581395,172,45,15.6666666666667
