"","X","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"2606",2606,2,"pyrenees","mod2",NA,NA,NA,NA,2.62269468545538,0.380342650233998,6.89561027100649,2.60257499184236e-05,0.92
"2699",2699,2,"pyrenees","mod2",NA,NA,NA,NA,2.4715371837419,0.37550639782713,6.58187769381152,3.96000715021268e-05,0.92
"2792",2792,2,"pyrenees","mod2",NA,NA,NA,NA,2.5807809502468,0.449946203311037,5.73575447743643,0.000188813426365956,0.92
"2885",2885,2,"pyrenees","mod2",NA,NA,NA,NA,2.53895374775079,0.413650136467144,6.13792556539493,7.33171767811608e-05,0.92
"2978",2978,2,"pyrenees","mod2",NA,NA,NA,NA,2.59460978064674,0.419744669619829,6.18140019025548,3.31625472631181e-05,0.92
"3071",3071,2,"pyrenees","mod2",NA,NA,NA,NA,2.50022117580106,0.39489399431852,6.33137300585127,3.76728280155969e-05,0.92
"3164",3164,2,"pyrenees","mod2",NA,NA,NA,NA,2.74680903498643,0.515933818781654,5.32395616451903,0.000335845059479837,0.92
"3257",3257,2,"pyrenees","mod2",NA,NA,NA,NA,2.66088006237237,0.484083028749469,5.49674312947144,0.000909670904591046,0.92
"3350",3350,2,"pyrenees","mod2",NA,NA,NA,NA,2.58723587190425,0.414534661128616,6.24130166789964,4.31030928352095e-05,0.92
"3443",3443,2,"pyrenees","mod2",NA,NA,NA,NA,2.60926843904727,0.44937451961531,5.80644501446355,0.000171448352881319,0.92
"3536",3536,2,"pyrenees","mod2",NA,NA,NA,NA,2.57951161041889,0.361847518813305,7.1287254335155,1.19900115347181e-05,0.92
"3629",3629,2,"pyrenees","mod2",NA,NA,NA,NA,2.53699828752616,0.424357948210627,5.97843942413196,6.42605746644273e-05,0.92
"3722",3722,2,"pyrenees","mod2",NA,NA,NA,NA,2.42789725146527,0.334561829801116,7.25694635550194,6.39231926296062e-06,0.92
