"","replicate","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"5563",60,76,"mod1",0.12961253251039,0.0165068099572788,7.85206425989272,2.50563197109364e-08,1.80368289256306,0.0421362455413357,42.8059707121662,1.22775201098962e-25
"5564",60,77,"mod1",0.12961253251039,0.0165068099572788,7.85206425989272,2.50563197109364e-08,1.80368289256306,0.0421362455413357,42.8059707121662,1.22775201098962e-25
"5565",60,78,"mod1",0.130600254112619,0.0166636388189047,7.83743908110002,2.59378409103498e-08,1.79981342287311,0.0424636317796368,42.3848207853056,1.58209872175064e-25
"5566",60,79,"mod1",0.130600254112619,0.0166636388189047,7.83743908110002,2.59378409103498e-08,1.79981342287311,0.0424636317796368,42.3848207853056,1.58209872175064e-25
"5567",60,80,"mod1",0.131469326601897,0.0168464727508551,7.80396754538562,2.80767449949725e-08,1.80062590537299,0.0429335190144851,41.9398629952857,2.07369046430335e-25
"5568",60,81,"mod1",0.131469326601897,0.0168464727508551,7.80396754538562,2.80767449949725e-08,1.80062590537299,0.0429335190144851,41.9398629952857,2.07369046430335e-25
"5569",60,82,"mod1",0.110886597200174,0.0144877315906286,7.65382741297484,1.24457275276886e-08,1.84226845872434,0.0381831493164958,48.2482061250105,9.87628861889737e-31
"5570",60,83,"mod1",0.11106562773032,0.0146155674416455,7.59913210169662,1.4420954727147e-08,1.84373035389093,0.0385931406047393,47.7735246471369,1.33656864964034e-30
"5571",60,84,"mod1",0.11106562773032,0.0146155674416455,7.59913210169662,1.4420954727147e-08,1.84373035389093,0.0385931406047393,47.7735246471369,1.33656864964034e-30
"5572",60,85,"mod1",0.111480529001841,0.0145426508557536,7.66576397299222,1.20525596709042e-08,1.84052955446523,0.0382926761554282,48.0647930427898,1.10972345610963e-30
"5573",60,86,"mod1",0.111765145111742,0.0147822220868128,7.56078108253073,1.59934480916368e-08,1.84099860473137,0.0389812052705827,47.2278522932355,1.89941655103447e-30
"5574",60,87,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5575",60,88,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5576",60,89,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5577",60,90,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5578",60,91,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5579",60,92,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5580",60,93,"mod1",0.112574322969951,0.0147258752904723,7.64466089447243,1.27564865638255e-08,1.84239285920943,0.0389451066741865,47.3074287515202,1.80407849772387e-30
"5581",61,1,"mod3",1.75293282039929,0.167742044940746,10.45016961024,0.000473805520565209,NA,NA,NA,NA
"5582",61,2,"mod1",0.252658054255512,0.0479583551423891,5.2682802299071,0.00019836686616366,1.92954224316142,0.123673862600966,15.6018596216008,2.47640507950607e-09
"5583",61,3,"mod1",0.24689515060017,0.0446857856709173,5.52513840572029,5.82466643217201e-05,1.91587814928501,0.116370885224959,16.4635522500443,5.18012562311485e-11
"5584",61,4,"mod1",0.249021013026228,0.0449616168862961,5.53852441863867,5.68068912694556e-05,1.90902997701944,0.116513171703198,16.3846709270128,5.54722657760304e-11
"5585",61,5,"mod1",0.215883716718373,0.0385322161641426,5.6026810344553,3.96646071793575e-05,1.82147113159832,0.0986262548146055,18.4684203513786,3.25640666155716e-12
"5586",61,6,"mod1",0.214004613828422,0.0388978534859892,5.50170754037892,3.89020183548526e-05,1.79331926624401,0.0999410092997594,17.9437778226273,1.74844112613199e-12
"5587",61,7,"mod1",0.2073032602749,0.035985845718514,5.76068885240196,1.84657428899795e-05,1.78175360516222,0.0903041643878205,19.7305807239442,1.21717840975087e-13
"5588",61,8,"mod1",0.2073032602749,0.035985845718514,5.76068885240196,1.84657428899795e-05,1.78175360516222,0.0903041643878205,19.7305807239442,1.21717840975087e-13
"5589",61,9,"mod1",0.20293839299955,0.0344271813365574,5.89471415088096,1.39919648063281e-05,1.76653720770134,0.085987398439158,20.5441406504616,6.05692763755548e-14
"5590",61,10,"mod1",0.19022388562317,0.0285449530675409,6.66401115367316,2.25652196539952e-06,1.7899576698004,0.0717010083905354,24.9641910201736,5.46973260136341e-16
"5591",61,11,"mod1",0.190549356519157,0.0270841492693048,7.03545659213715,1.06905958273737e-06,1.77294631598088,0.066582457148016,26.6278294902745,1.65851026915662e-16
