"","X","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"4186",4186,1,"pyrenees","mod1",0.227058827961678,0.0468260500147811,4.84898529536454,0.000212492905586638,1.80855266544517,0.12064081644619,14.9912170583813,1.95739337563405e-10,0.9
"4372",4372,1,"pyrenees","mod1",0.305325993434268,0.0620555171733486,4.92020705558471,0.000604672664333102,1.8959385567531,0.158072244334589,11.9941268926377,2.93488908613429e-07,0.9
"4465",4465,1,"pyrenees","mod1",0.20462027260052,0.0423505779166769,4.83158159029382,0.000184093964517879,1.85175126792695,0.117239789508537,15.7945632254151,3.51496693949977e-11,0.9
"4558",4558,1,"pyrenees","mod1",0.300964811353034,0.0575382469758106,5.23069136047127,0.000280829017426514,1.89214659930833,0.142323498118623,13.2946886798079,4.03110998758996e-08,0.9
"4651",4651,1,"pyrenees","mod1",0.213085797925977,0.0454014474180841,4.6933701466333,0.000288469528635653,1.82058790335685,0.119326864543796,15.257150268024,1.5267511752767e-10,0.9
"4744",4744,1,"pyrenees","mod1",0.258498448099134,0.0468584449337796,5.51658187685154,9.93124394357586e-05,1.90842008355864,0.119268345155548,16.0010611455177,6.20591217768735e-10,0.9
"4930",4930,1,"pyrenees","mod1",0.186386334379193,0.0359350289979329,5.18675898076818,5.24755192889602e-05,1.72874846066669,0.0929788278474306,18.5929259455002,1.19438493058131e-13,0.9
"5023",5023,1,"pyrenees","mod1",0.669990530306914,0.0943345210765851,7.10228368852358,0.000391388952885826,2.41288570894181,0.236836921515201,10.187962643261,5.20796617757491e-05,0.9
"5116",5116,1,"pyrenees","mod1",0.220298050750178,0.0400412698104591,5.50177483863498,7.79820794797664e-05,1.81888251940217,0.10114329086126,17.9832246302641,4.51934154814965e-11,0.9
"5209",5209,1,"pyrenees","mod1",0.240741646400141,0.0419712444295165,5.73587106297087,6.86939145122191e-05,1.81565917454807,0.103884009012116,17.4777541973405,2.06594871169397e-10,0.9
"5302",5302,1,"pyrenees","mod1",0.512880637738644,0.0867395608424235,5.91288026775204,0.00059174355818303,2.54143874395723,0.251412779475788,10.1086299163324,1.99224846013393e-05,0.9
"5488",5488,1,"pyrenees","mod1",0.270525713370163,0.0716194411111153,3.7772664680593,0.00361814444339534,2.04629970342883,0.211723725169899,9.66495229472638,2.17040027838239e-06,0.9
"5674",5674,1,"pyrenees","mod1",0.20462027260052,0.0423505779166769,4.83158159029382,0.000184093964517879,1.85175126792695,0.117239789508537,15.7945632254151,3.51496693949977e-11,0.9
"5767",5767,1,"pyrenees","mod1",0.512880637738644,0.0867395608424235,5.91288026775204,0.00059174355818303,2.54143874395723,0.251412779475788,10.1086299163324,1.99224846013393e-05,0.9
"5860",5860,1,"pyrenees","mod1",0.329925064240274,0.0759313879419003,4.34504192775614,0.00145483237433836,1.82111098459821,0.18152264706891,10.032417519269,1.54307956644548e-06,0.9
"5953",5953,1,"pyrenees","mod1",0.250146908025961,0.0483410319762379,5.17462904285786,0.000306293384968278,1.914809540606,0.123900557015799,15.4544062329102,8.32086879318808e-09,0.9
"6046",6046,1,"pyrenees","mod1",0.228143884415202,0.0493026692602428,4.62741445520832,0.000473521462963113,1.85013314177844,0.134182373312596,13.7881980777633,3.88457855629996e-09,0.9
"6139",6139,1,"pyrenees","mod1",0.464938949866959,0.0808091738547363,5.75354167959618,0.000275066812118151,1.8435141152073,0.170281385980407,10.8262808914382,1.84098212282384e-06,0.9
"6232",6232,1,"pyrenees","mod1",0.414617772875338,0.0779038195079174,5.32217515770456,0.000709176293967772,2.04196133243432,0.193532959566247,10.5509745575681,5.67953642661233e-06,0.9
"6325",6325,1,"pyrenees","mod1",0.414617772875338,0.0779038195079174,5.32217515770456,0.000709176293967772,2.04196133243432,0.193532959566247,10.5509745575681,5.67953642661233e-06,0.9
"6418",6418,1,"pyrenees","mod1",0.326662386469949,0.0610470802427689,5.350991155857,0.00032314717924068,1.89704894492326,0.149900209496763,12.655412232524,1.76903356092806e-07,0.9
"6511",6511,1,"pyrenees","mod1",0.287320914580431,0.0636200913569665,4.51619776790793,0.000877509859486546,1.79278314684147,0.154891570274484,11.5744397430052,1.68454876420808e-07,0.9
"6604",6604,1,"pyrenees","mod1",0.347850284760117,0.0745045797666962,4.66884432942749,0.00068382352198828,1.84995506689336,0.173754435145295,10.6469516323219,3.93792778471949e-07,0.9
"6697",6697,1,"pyrenees","mod1",0.255548637723487,0.0518271981154197,4.93078242729575,0.000274646340566271,1.70871183435231,0.123048464668302,13.8864945528449,3.56138251824032e-09,0.9
"6790",6790,1,"pyrenees","mod1",0.329925064240274,0.0759313879419003,4.34504192775614,0.00145483237433836,1.82111098459821,0.18152264706891,10.032417519269,1.54307956644548e-06,0.9
"6883",6883,1,"pyrenees","mod1",0.424929541196944,0.0838751196269107,5.06621681241225,0.000969544549823895,2.23546250327416,0.223568183953135,9.99901892902061,8.49440136582364e-06,0.9
"6976",6976,1,"pyrenees","mod1",0.304655663599166,0.0609766482823098,4.99626778744333,0.000404906342297424,1.81937123755889,0.147014324979304,12.3754691103402,8.46990989873086e-08,0.9
"7069",7069,1,"pyrenees","mod1",0.258498448099134,0.0468584449337796,5.51658187685154,9.93124394357586e-05,1.90842008355864,0.119268345155548,16.0010611455177,6.20591217768735e-10,0.9
