Site;Transect;T_section;Family;Genus.Species;P.Genus.Species;logArea;logIsolation;Sh250;Flowercover;Flowerdiv
1;11;A;Halictidae;Lasioglossum.villosulum;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;B;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;B;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;B;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;A;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;A;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;C;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;A;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;C;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;A;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;A;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;8;B;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;B;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;C;Halictidae;Sphecodes.ephippius;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;B;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;C;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;1;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;A;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;2;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;B;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;4;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;5;D;Halictidae;Sphecodes.ferruginatus;Pimpinella.saxifraga;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;6;D;Halictidae;Sphecodes.ferruginatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;D;Halictidae;Sphecodes.ferruginatus;Daucus.carota;4.71092087;4.642417808;1.209917451;64.80833333;29
1;9;F;Halictidae;Sphecodes.ferruginatus;Daucus.carota;4.71092087;4.642417808;1.209917451;64.80833333;29
1;10;F;Halictidae;Sphecodes.ferruginatus;Centaurea.jacea;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.ferruginatus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.geoffrellus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;B;Halictidae;Sphecodes.gibbus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;11;C;Halictidae;Sphecodes.gibbus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
1;12;D;Halictidae;Sphecodes.gibbus;Sedum.sexangulare;4.71092087;4.642417808;1.209917451;64.80833333;29
1;3;A;Halictidae;Sphecodes.hyalinatus;NA;4.71092087;4.642417808;1.209917451;64.80833333;29
