"","site_type","replicate","areas","species","links","connectances","links_per_sp","indegree","outdegree","sd_gen","sd_vul","basal","top","intermediate","S_basal","S_top","S_intermediate","modularity","normalised_indegree","normalised_outdegree","potential_indegree"
"31",1,2,12,88,1637,0.427638453500522,18.6022727272727,18.6022727272727,18.6022727272727,0.210900473375478,0.188970784464836,0,0,1,0,0,88,0.0700196549296379,1,1,NA
"32",1,2,13,91,1689,0.412454212454212,18.5604395604396,18.5604395604396,18.5604395604396,0.193462875389051,0.225346311355872,0,0,1,0,0,91,0.0907749086618423,1,1,NA
"33",1,2,14,95,1876,0.420156774916013,19.7473684210526,19.7473684210526,19.7473684210526,0.183919012570103,0.184215432380794,0,0,1,0,0,95,0.106535792350769,1,1,NA
"34",1,2,15,95,1880,0.421052631578947,19.7894736842105,19.7894736842105,19.7894736842105,0.21589064745713,0.208465046382405,0,0,1,0,0,95,0.0776375085115433,1,1,NA
"35",1,2,16,97,1939,0.416451890034364,19.9896907216495,19.9896907216495,19.9896907216495,0.213648625535701,0.207206678472048,0,0,1,0,0,97,0.0927501022815704,1,1,NA
"36",1,2,17,97,1941,0.416881443298969,20.0103092783505,20.0103092783505,20.0103092783505,0.185378898161518,0.193615899975568,0,0,1,0,0,97,0.0838901251554489,1,1,NA
"37",1,2,18,102,2044,0.396816152203456,20.0392156862745,20.0392156862745,20.0392156862745,0.198235477755487,0.216657723139758,0,0,1,0,0,102,0.0946458876132965,1,1,NA
"38",1,2,19,102,2044,0.396816152203456,20.0392156862745,20.0392156862745,20.0392156862745,0.200830385356929,0.162715534222937,0,0,1,0,0,102,0.063464842736721,1,1,NA
"39",1,3,1,53,729,0.529027576197387,13.7547169811321,13.7547169811321,13.7547169811321,0.232501339042767,0.199565359834039,0,0,1,0,0,53,0.110552251338959,1,1,NA
"40",1,3,2,65,957,0.460096153846154,14.7230769230769,14.7230769230769,14.7230769230769,0.197841546839972,0.201451990549275,0,0,1,0,0,65,0.106713555753231,1,1,NA
"41",1,3,3,70,1094,0.453002070393375,15.6285714285714,15.6285714285714,15.6285714285714,0.221965204687607,0.212682296156606,0,0,1,0,0,70,0.0901501923799515,1,1,NA
"42",1,3,4,71,1138,0.4579476861167,16.0281690140845,16.0281690140845,16.0281690140845,0.20448418184273,0.23391182800973,0,0,1,0,0,71,0.0605442896485329,1,1,NA
"43",1,3,5,75,1330,0.479279279279279,17.7333333333333,17.7333333333333,17.7333333333333,0.208400009142181,0.225246169216964,0,0,1,0,0,75,0.0982531532645226,1,1,NA
"44",1,3,6,79,1448,0.469977280103862,18.3291139240506,18.3291139240506,18.3291139240506,0.211071247944704,0.189341779405043,0,0,1,0,0,79,0.088695153594017,1,1,NA
"45",1,3,7,80,1463,0.462974683544304,18.2875,18.2875,18.2875,0.180668875590081,0.196330894481104,0,0,1,0,0,80,0.065350167453289,1,1,NA
"46",1,3,8,84,1608,0.461273666092943,19.1428571428571,19.1428571428571,19.1428571428571,0.19002549074657,0.227507633349798,0,0,1,0,0,84,0.082958959043026,1,1,NA
"47",1,3,9,87,1679,0.448810478481689,19.2988505747126,19.2988505747126,19.2988505747126,0.166525988938645,0.190323035068195,0,0,1,0,0,87,0.0842609256505966,1,1,NA
"48",1,3,10,91,1736,0.423931623931624,19.0769230769231,19.0769230769231,19.0769230769231,0.229587833903939,0.229720777138649,0,0,1,0,0,91,0.0844590812921524,1,1,NA
"49",1,3,11,91,1741,0.425152625152625,19.1318681318681,19.1318681318681,19.1318681318681,0.190254769127406,0.176687616820148,0,0,1,0,0,91,0.0871870443224907,1,1,NA
"50",1,3,12,93,1787,0.417718560074801,19.2150537634409,19.2150537634409,19.2150537634409,0.200512737443241,0.227347144580517,0,0,1,0,0,93,0.0940547436475754,1,1,NA
"51",1,3,13,94,1833,0.419354838709677,19.5,19.5,19.5,0.190511787061539,0.199502396111695,0,0,1,0,0,94,0.0675034150481224,1,1,NA
"52",1,3,14,95,1886,0.422396416573348,19.8526315789474,19.8526315789474,19.8526315789474,0.182500666872714,0.198918703498411,0,0,1,0,0,95,0.0771939307451248,1,1,NA
"53",1,3,15,96,1900,0.416666666666667,19.7916666666667,19.7916666666667,19.7916666666667,0.226900102489389,0.190597590010935,0,0,1,0,0,96,0.0778687000274658,1,1,NA
"54",1,3,16,97,1914,0.411082474226804,19.7319587628866,19.7319587628866,19.7319587628866,0.220118790509776,0.173027538361766,0,0,1,0,0,97,0.0771506801247597,1,1,NA
"55",1,3,17,102,2017,0.391574451562803,19.7745098039216,19.7745098039216,19.7745098039216,0.199114842450621,0.197454792854391,0,0,1,0,0,102,0.0982653945684433,1,1,NA
"56",1,3,18,102,2018,0.391768588623568,19.7843137254902,19.7843137254902,19.7843137254902,0.20024785621256,0.18746029317604,0,0,1,0,0,102,0.0919996798038483,1,1,NA
"57",1,3,19,102,2044,0.396816152203456,20.0392156862745,20.0392156862745,20.0392156862745,0.190497533532116,0.180393029739637,0,0,1,0,0,102,0.0769012644886971,1,1,NA
"58",1,4,1,40,316,0.405128205128205,7.9,7.9,7.9,0.252839778692376,0.304445916196499,0,0,1,0,0,40,0.159970343112946,1,1,NA
"59",1,4,2,59,732,0.427819988310929,12.4067796610169,12.4067796610169,12.4067796610169,0.268627124222222,0.242782703310915,0,0,1,0,0,59,0.0897132158279419,1,1,NA
"60",1,4,3,63,840,0.43010752688172,13.3333333333333,13.3333333333333,13.3333333333333,0.236020433779133,0.254871884324958,0,0,1,0,0,63,0.0916447043418884,1,1,NA
