"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"567",1,30,16,"mod2",NA,NA,NA,NA,32.6197717608001,0.994348547372084,32.805168617191,1.89105323392442e-21,0.88
"605",1,32,16,"mod2",NA,NA,NA,NA,39.5337878351316,0.785385567748969,50.3367892899296,1.90690155235693e-27,0.88
"643",1,34,16,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.88
"662",1,35,16,"mod2",NA,NA,NA,NA,41.415962665493,1.17158226299109,35.3504520969417,5.18818204837743e-26,0.88
"700",1,37,16,"mod2",NA,NA,NA,NA,41.1216698380302,1.19963843250911,34.2783864901878,2.06875033715912e-24,0.88
"719",1,38,16,"mod2",NA,NA,NA,NA,37.6786563222872,0.998171084829355,37.7476936518639,3.30490391263811e-26,0.88
"738",1,39,16,"mod2",NA,NA,NA,NA,41.6191678950714,1.20705284364764,34.4799882740019,1.76195461806905e-24,0.88
"757",1,40,16,"mod2",NA,NA,NA,NA,39.6506138182365,1.18547859353499,33.4469251781273,4.04969872483124e-24,0.88
"776",1,41,16,"mod2",NA,NA,NA,NA,39.8374559384716,1.08872784594954,36.5908303775654,3.45639896876892e-25,0.88
"795",1,42,16,"mod2",NA,NA,NA,NA,68.4890131211636,6.50327439503015,10.5314659909635,1.11621008326584e-10,0.88
"814",1,43,16,"mod2",NA,NA,NA,NA,41.0648401421726,1.09298339631675,37.5713302512713,3.77569294285342e-26,0.88
"833",1,44,16,"mod2",NA,NA,NA,NA,39.7552412202025,1.47046719212684,27.0357893280854,1.74344443573022e-19,0.88
"852",1,45,16,"mod2",NA,NA,NA,NA,40.4679365209296,1.19795515814196,33.7808441709084,3.086358620646e-24,0.88
"871",1,46,16,"mod2",NA,NA,NA,NA,38.5701170684656,1.1609215532556,33.2237065978339,1.94870585294898e-23,0.88
"890",1,47,16,"mod2",NA,NA,NA,NA,39.9626812007316,1.1663730048009,34.2623509256828,5.16831491666906e-25,0.88
"909",1,48,16,"mod2",NA,NA,NA,NA,40.1872517346576,1.11470878282326,36.0517942927426,2.9158222772895e-26,0.88
"928",1,49,16,"mod2",NA,NA,NA,NA,40.6540289502427,1.0814837458852,37.5909754584125,1.993501484048e-27,0.88
"947",1,50,16,"mod2",NA,NA,NA,NA,41.0489622788408,1.14581798278121,35.8250288402736,3.50883657222542e-26,0.88
"966",1,51,16,"mod2",NA,NA,NA,NA,40.6633593127277,1.23984293147191,32.7971860632807,2.73980305485732e-23,0.88
"985",1,52,16,"mod2",NA,NA,NA,NA,41.1436744311591,1.26395655777397,32.5514940985154,3.34035025619234e-23,0.88
"1004",1,53,16,"mod2",NA,NA,NA,NA,39.1822815340312,1.12604944306028,34.7962354366474,5.2893582002676e-27,0.88
"1023",1,54,16,"mod2",NA,NA,NA,NA,40.5481023759903,1.06252471249363,38.1620322795393,2.94831597781518e-28,0.88
"1042",1,55,16,"mod2",NA,NA,NA,NA,41.3242955995834,1.16673564877469,35.4187305779011,2.01713241174067e-25,0.88
