"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"4792",3,95,12,"mod2",NA,NA,NA,NA,42.3172532509707,1.1637269951843,36.3635572828393,9.55506258957963e-26
"4793",3,95,13,"mod2",NA,NA,NA,NA,40.9393051534622,1.03644765773413,39.4996359420246,4.22226659864638e-26
"4794",3,95,14,"mod2",NA,NA,NA,NA,40.0275813222912,0.900666959266612,44.4421557940624,2.4577254408787e-30
"4795",3,95,15,"mod2",NA,NA,NA,NA,39.8603032102076,0.951359696732627,41.8982466327981,3.49755589529993e-28
"4796",3,95,16,"mod2",NA,NA,NA,NA,41.5295455312525,1.02426921880158,40.5455370218421,1.99839698014736e-28
"4797",3,95,17,"mod2",NA,NA,NA,NA,41.8268778789171,1.03427796022361,40.4406547248421,4.64434660804006e-27
"4798",3,95,18,"mod2",NA,NA,NA,NA,40.105105146355,0.899260948233274,44.5978502960094,1.09440162845872e-29
"4799",3,95,19,"mod2",NA,NA,NA,NA,42.1720129653276,0.925344447447914,45.5743945745148,5.64688390269082e-30
"4800",3,95,20,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4801",3,96,1,"mod2",NA,NA,NA,NA,23.2653643651876,1.06819063432689,21.7801613471814,3.37493080603733e-12
"4802",3,96,2,"mod2",NA,NA,NA,NA,43.1015449992807,5.37271280878278,8.02230577611044,3.51407948809473e-07
"4803",3,96,3,"mod2",NA,NA,NA,NA,26.5249220776397,1.02856494590517,25.788281219614,3.00117810788119e-16
"4804",3,96,4,"mod2",NA,NA,NA,NA,33.7507701034167,0.999944317992968,33.7526495186845,1.91470511274553e-20
"4805",3,96,5,"mod2",NA,NA,NA,NA,30.475630568457,0.74496862098475,40.9086097185841,2.96979861693458e-22
"4806",3,96,6,"mod2",NA,NA,NA,NA,34.1395453848047,1.25441135092521,27.2155902923108,5.35542110281535e-19
