"","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1323",5127,"Alpine","mod1",-0.0259198310684516,0.00275300470578017,-9.41510598003362,3.75345002879038e-17,58.6029698334423,0.757900081220241,77.322817724323,1.11240284347026e-132,1
"1732",5131,"Alpine","mod1",-0.0203102409370052,0.00266444419631841,-7.62269330506857,1.6358899986996e-12,64.5715820097944,0.852994227459544,75.6999050299633,1.97311237169899e-133,1
"572",5133,"Alpine","mod1",-0.0343679691038841,0.00263616163916948,-13.03712511146,2.03138667879239e-27,63.5113494284728,0.813838997951655,78.0392062660109,1.25366744614878e-135,1
"297",5139,"Alpine","mod1",-0.0242673694027787,0.00202158013339831,-12.004159024844,7.25802068704893e-26,81.1914959763418,0.85652165305462,94.7921114274086,2.27243954856788e-180,1
"917",5139,"Alpine","mod1",-0.0303766139229517,0.00312201758525716,-9.72980231322099,1.1368087089404e-17,53.7333010753169,0.766650448840812,70.0883970740023,4.42280414606304e-117,1
"298",5142,"Alpine","mod1",-0.0263324017624311,0.00206105536673775,-12.7761738900349,1.93414706842193e-28,78.3428983697421,0.823118893780376,95.1781072718828,3.79263389256559e-183,1
"1733",5146,"Alpine","mod1",-0.0286076513832042,0.00242146378764878,-11.8141974821692,4.03247141239469e-24,65.4648543637197,0.764947228219402,85.5808766260972,6.02021157409948e-146,1
"573",5149,"Alpine","mod1",-0.0298737703657662,0.00249316147119032,-11.9822846257541,1.41926431884483e-24,62.8680437661051,0.741085187410008,84.8324117579794,1.09287497014847e-144,1
"1324",5149,"Alpine","mod1",-0.0195930851294403,0.00269510187510606,-7.26988664525685,1.62828006457888e-11,56.2637659670313,0.707112810327016,79.5683024622496,3.41660804106304e-128,1
"918",5158,"Alpine","mod1",-0.0165206077871197,0.00273611357785404,-6.03798318930788,1.1099340861948e-08,63.4300304242193,0.843226197664576,75.2230310204984,6.58608575333551e-124,1
"1734",5170,"Alpine","mod1",-0.0293031739978858,0.00240814092786313,-12.1683800390736,2.08862180916832e-25,68.8853273582323,0.818990107748017,84.1100847330707,2.25315547015315e-149,1
"919",5171,"Alpine","mod1",-0.0319677699718945,0.00311360755817738,-10.2671159979479,8.21392548960285e-19,49.4035466731955,0.678285112419714,72.8359590511331,9.08275025455979e-114,1
